lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant
0,0,1.0,1.0,0.011789487013956334,0.011789487013956334,27639,27639,1.0,1.0,False,False
1,5,0.0007807404629681938,0.0007851191111875985,0.011842954349546705,0.011842954349546705,27390,27390,-0.0008307496998623566,-0.0008307496998623667,False,False
2,10,-0.005921631876539585,-0.0060019898562126885,0.01189715579679461,0.01189715579679461,27141,27141,-0.006504121310510499,-0.006504815944840934,False,False
3,15,0.008518127426650125,0.008678702979211868,0.011952108309988503,0.011952108309988503,26892,26892,0.007804124993932523,0.0077936178227310275,False,False
4,20,-0.010354618521477527,-0.010619985715810295,0.012007829396712515,0.012007829396712515,26643,26643,-0.011384003860380852,-0.011414849416345314,False,False
5,25,-0.000276836140985458,-9.785662002408835e-05,0.012064337141280619,0.012064337141280619,26394,26394,-0.0010353014117433408,-0.0009510110044341408,False,False
6,30,0.0013518478113408912,0.0012004220256313187,0.012121650229395414,0.012121650229395414,26145,26145,0.0029536801646072855,0.0027431139236771176,False,False
7,35,0.004747240197565965,0.005079429511928959,0.012179787974107884,0.012179787974107884,25896,25896,0.004853070582945711,0.0050229655468024634,False,False
8,40,-0.004009997892725844,-0.00425565128926487,0.012238770343160033,0.012238770343160033,25647,25647,-0.004102078748446071,-0.004173338941792555,False,False
9,45,0.007162008516565752,0.007509411440985106,0.012298617987798304,0.012298617987798304,25398,25398,0.007474547657204771,0.0074683876418836295,False,False
10,50,-0.008721076098028885,-0.009278714601311716,0.012359352273152232,0.012359352273152232,25149,25149,-0.010439894406098845,-0.0105002811598099,False,False
11,55,-0.011229586390623155,-0.011484658241210494,0.012420995310279768,0.012420995310279768,24900,24900,-0.011312071967640194,-0.011049614530243789,False,False
12,60,-0.0008465040905257502,-0.0011789054525876753,0.012483569989988496,0.012483569989988496,24651,24651,-0.0032439271255598734,-0.003607922477573285,False,False
13,65,-0.011067054672982184,-0.011522268352135687,0.012547100018550182,0.012547100018550182,24402,24402,-0.01150022449171465,-0.011359386231132532,False,False
14,70,-0.0007834059182558467,-0.0006024587290122833,0.012611609955435227,0.012611609955435227,24153,24153,-0.0003817218036581469,-0.0004966980932560816,False,False
15,75,0.004131021046301227,0.0039341125374109205,0.012677125253203437,0.012677125253203437,23904,23904,0.00465101726128666,0.004282057282380082,False,False
16,80,-0.0037992945563403427,-0.004029697766792343,0.012743672299698264,0.012743672299698264,23655,23655,-0.0037400145821185537,-0.0036952351968080584,False,False
17,85,-0.003789763631727425,-0.004193144720584624,0.012811278462703387,0.012811278462703387,23406,23406,-0.0023013559332323874,-0.002281611050227003,False,False
18,90,-0.0024721069267396437,-0.002975258482277263,0.01287997213723327,0.01287997213723327,23157,23157,-0.003807539046331338,-0.00397414396297088,False,False
19,95,0.0029076693168805755,0.003549891232475698,0.012949782795643296,0.012949782795643296,22908,22908,-0.0014717809869856852,-0.0011935660386908885,False,False
20,100,0.0011296498514382065,0.0013720469964729413,0.013020741040760338,0.013020741040760338,22659,22659,7.915691722107235e-05,0.00012802181287468206,False,False
21,105,-0.001080194960300435,-0.0014872939575092487,0.013092878662251305,0.013092878662251305,22410,22410,0.003726665555667173,0.0034155890815236794,False,False
22,110,0.003697995311421163,0.003941425398172113,0.013166228696465493,0.013166228696465493,22161,22161,0.005512568212349978,0.005395285606139061,False,False
23,115,0.005263056066504872,0.005954341327635951,0.01324082549000662,0.01324082549000662,21912,21912,0.003198836913381312,0.0029961039176236628,False,False
24,120,0.007173719025368781,0.007914287420130447,0.013316704767312403,0.013316704767312403,21663,21663,0.002393164708721628,0.002086988720517535,False,False
25,125,-0.001202991621489065,-0.0012185192810544184,0.013393903702543702,0.013393903702543702,21414,21414,-0.0007984674860091646,-0.0006721814662884578,False,False
26,130,0.006636973070177237,0.007876968116877507,0.013472460996111855,0.013472460996111855,21165,21165,0.008860668582046784,0.008880815403798271,False,False
27,135,0.0077427152903081446,0.008892340488345514,0.013552416956202032,0.013552416956202032,20916,20916,0.0034059569912989157,0.003374912044200656,False,False
28,140,0.0011761447323847434,0.0017096890223830862,0.013633813585682728,0.013633813585682728,20667,20667,-0.006305323563315724,-0.00621942096965549,False,False
29,145,0.010440113767733367,0.01238533085609194,0.013716694674827067,0.013716694674827067,20418,20418,0.009673504404129292,0.009315011848542836,False,False
30,150,0.00214001437040392,0.0025294644820350897,0.013801105900310851,0.013801105900310851,20169,20169,0.00504923815397103,0.004954607220464207,False,False
