clock,mean_return,median_absolute_return,mean_absolute_return,mean_volume,observations
09:15,0.014675224343873559,0.051017405890441125,0.06993526653048393,178631.10040160644,249
09:20,-0.004477729268714056,0.04940914993252221,0.06234524633115986,176773.48192771085,249
09:25,-0.009212087168128926,0.049611694111995064,0.05986823643990291,159266.17269076305,249
09:30,0.005534462728113022,0.038218995305605574,0.05110989472563263,145065.9236947791,249
09:35,-0.0064214778253506005,0.0482526965916108,0.08484068721594759,209475.1485943775,249
09:40,-0.006000748059607368,0.039821167286469006,0.054202354267773735,159417.61445783134,249
09:45,0.0005625703305653072,0.042101234953406674,0.05543081487786309,156565.39759036145,249
09:50,-0.0017172494166517315,0.04477612015101329,0.05090757080865433,155367.03212851405,249
09:55,0.002500865786327652,0.04203527203312518,0.05268825052679567,157336.0843373494,249
10:00,-0.002273646110974209,0.04697776472237791,0.05418961837588885,154628.70682730924,249
10:05,-0.0024159529826972737,0.06011647748209725,0.07827029146272305,262741.0281124498,249
10:10,0.009336159841204077,0.05861879632949041,0.07968965539824355,263934.6586345382,249
10:15,-0.005089505439229582,0.07017399309656724,0.07889618876895813,276869.2048192771,249
10:20,-0.002707216748905222,0.07264246845029021,0.09127741840686569,299390.3333333333,249
10:25,-0.011355912066722724,0.07582651258069006,0.08674815230323954,266141.0562248996,249
10:30,-0.0012689912474438399,0.062003489682638246,0.07576586528430072,242152.6706827309,249
10:35,0.004069588913221209,0.08642363831441457,0.10677806965553245,364313.9718875502,249
10:40,0.0043799697234604825,0.06596946241295143,0.08640720087172014,295590.1044176707,249
10:45,0.00142916596665158,0.06754743477248581,0.08342657998279544,267293.2610441767,249
10:50,-0.006288550755237655,0.06091757279573784,0.07511525407018411,260600.07228915664,249
10:55,0.003093132134891356,0.05308831160935057,0.0710588303186994,236520.51004016065,249
11:00,-0.009754939986415538,0.05271802064559239,0.06340187225411839,207224.36144578314,249
11:05,-0.00028623036569496026,0.05459409427519546,0.07479574868465903,261496.8232931727,249
11:10,0.0006258413559099454,0.057975217219308206,0.06953159268744862,220294.88353413655,249
11:15,-0.01007826647781409,0.057639262166375715,0.06705315031611726,213576.41365461846,249
11:20,-0.000598175507027455,0.05792512374522829,0.0708176701486129,202735.2168674699,249
11:25,-0.002980583415395909,0.04862433743841876,0.06114582581850053,197048.9236947791,249
