scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,48,0.0167714574115095,0.0023342222162906,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,49,0.0178550355416124,0.0047709938292323,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,50,0.0172721296124687,0.002965206396392,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,51,0.0209393891870627,0.0075952464118145,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,52,0.0254419892509901,0.0106218676499576,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,53,0.0209645521287292,0.0030670897367349,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,54,0.026661510192739,0.0114168231852724,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,55,0.0345435930046675,0.0175432696957185,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,56,0.0292329584346477,0.0063784477294384,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,57,0.0246465341270165,0.0041501140964877,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,58,0.0179984259679111,-9.283697512660746e-05,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,59,0.0201473187986405,0.0056984372573687,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,60,0.0198174719876541,0.0042900351455779,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,1,0.2789925887598996,0.2789925887598996,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,2,0.148777439142745,0.0769284433905631,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,3,0.0653186323157402,0.0060450087592505,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,4,0.0544089614109276,0.0269646030404037,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,5,0.0536651995992803,0.0300281833829099,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,6,0.0411817352246985,0.0135567164148979,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,7,0.0479472188636427,0.0270319969167262,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,8,0.0425439735804923,0.0179117256724537,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,9,0.0437810322700632,0.0203960007119711,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,10,0.0476865361641834,0.0245327600162502,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
