scale,evaluation,horizon_bars,horizon_minutes,model,group_type,group,n,mse,mae,rmse,mse_ratio_vs_zero,mse_gain_vs_zero,n_candidate_origins_all,n_dropped_nonfinite_all
1min,common_60min,60,60.0,MA_BIC,gap_group,low,1026,0.0708638543262358,0.1854443164088591,0.2662026564973307,1.0032066139084748,-0.0032066139084747,1989,0
1min,common_60min,60,60.0,AR_MA_50_50,all,all,1989,0.0767681866296577,0.1936662182652087,0.277070724959635,1.0021026518127083,-0.0021026518127083,1989,0
1min,common_60min,60,60.0,AR_MA_50_50,time_band,fim,221,0.0272569034872774,0.1116343211863802,0.1650966489280671,1.0036222896824427,-0.0036222896824427,1989,0
1min,common_60min,60,60.0,AR_MA_50_50,time_band,inicio,221,0.1217132201376196,0.2580565325694364,0.3488742182185717,1.0008221900009664,-0.0008221900009663,1989,0
1min,common_60min,60,60.0,AR_MA_50_50,time_band,meio,1547,0.0774205080060032,0.1961864443758659,0.2782454096764279,1.0023143248631607,-0.0023143248631607,1989,0
1min,common_60min,60,60.0,AR_MA_50_50,gap_group,high,873,0.0791473949342033,0.1974417933418374,0.2813314680838305,1.002033838471228,-0.0020338384712279,1989,0
1min,common_60min,60,60.0,AR_MA_50_50,gap_group,low,1026,0.070863797440464,0.1854441930967159,0.2662025496505696,1.003205808587016,-0.0032058085870159,1989,0
1min,common_60min,60,60.0,ZERO,all,all,1989,0.0766071085539903,0.1934954949673027,0.2767798918888262,1.0,0.0,1989,0
1min,common_60min,60,60.0,ZERO,time_band,fim,221,0.0271585274335645,0.1103011837327585,0.1647984448760501,1.0,0.0,1989,0
1min,common_60min,60,60.0,ZERO,time_band,inicio,221,0.121613230955143,0.2576515149693156,0.3487308861502564,1.0,0.0,1989,0
1min,common_60min,60,60.0,ZERO,time_band,meio,1547,0.0772417455138865,0.1962152508576643,0.2779239923322319,1.0,0.0,1989,0
1min,common_60min,60,60.0,ZERO,gap_group,high,873,0.0789867486460897,0.1974114229015643,0.2810458123617744,1.0,0.0,1989,0
1min,common_60min,60,60.0,ZERO,gap_group,low,1026,0.0706373476248841,0.1850626527180895,0.2657768756398572,1.0,0.0,1989,0
1min,common_60min,60,60.0,TRAIN_MEAN,all,all,1989,0.0767626608559369,0.1936612038688886,0.2770607530054318,1.0020305204684357,-0.0020305204684356,1989,0
1min,common_60min,60,60.0,TRAIN_MEAN,time_band,fim,221,0.0272550705647043,0.1116315358298609,0.1650910977754535,1.0035547999196934,-0.0035547999196934,1989,0
1min,common_60min,60,60.0,TRAIN_MEAN,time_band,inicio,221,0.12171759181706,0.2580557052687449,0.3488804835714661,1.0008581374008183,-0.0008581374008183,1989,0
1min,common_60min,60,60.0,TRAIN_MEAN,time_band,meio,1547,0.0774130407602382,0.1961805133887702,0.2782319909001088,1.002217651157572,-0.0022176511575719,1989,0
1min,common_60min,60,60.0,TRAIN_MEAN,gap_group,high,873,0.0791364620317077,0.1974405877843342,0.2813120367700389,1.0018954240829534,-0.0018954240829534,1989,0
1min,common_60min,60,60.0,TRAIN_MEAN,gap_group,low,1026,0.0708596902847278,0.1854304996873635,0.2661948351954407,1.0031476643350823,-0.0031476643350825,1989,0
5min,native,1,5.0,ARMA_BIC,all,all,23868,0.0065576717017443,0.0554582997293271,0.080979452342828,1.0001647539461311,-0.0001647539461311,23868,0
5min,native,1,5.0,ARMA_BIC,time_band,fim,2652,0.0029509038696831,0.033139188260137,0.0543222226136153,1.0002272492757984,-0.0002272492757984,23868,0
5min,native,1,5.0,ARMA_BIC,time_band,inicio,2652,0.010737356715422,0.077265859927803,0.1036212174963314,1.0000675005167932,-6.750051679316194e-05,23868,0
5min,native,1,5.0,ARMA_BIC,time_band,meio,18564,0.0064758263900848,0.0555313784822863,0.0804725194714621,1.0001837246399028,-0.0001837246399027,23868,0
5min,native,1,5.0,ARMA_BIC,gap_group,high,10476,0.0073212334327636,0.0578065409871365,0.0855642064929236,1.0001420285205012,-0.0001420285205011,23868,0
5min,native,1,5.0,ARMA_BIC,gap_group,low,12312,0.0058298623213883,0.0527436360810794,0.0763535350942463,1.0002649214020278,-0.0002649214020278,23868,0
5min,native,1,5.0,AR_BIC,all,all,23868,0.0065582366981331,0.0554639923079856,0.0809829407846689,1.000250926218841,-0.000250926218841,23868,0
5min,native,1,5.0,AR_BIC,time_band,fim,2652,0.0029519720993182,0.0331468338903676,0.0543320540686462,1.0005893323651531,-0.0005893323651533,23868,0
5min,native,1,5.0,AR_BIC,time_band,inicio,2652,0.0107379014857786,0.0772671267355658,0.1036238461251978,1.0001182399253252,-0.0001182399253252,23868,0
5min,native,1,5.0,AR_BIC,time_band,meio,18564,0.0064763223854431,0.0555374243065624,0.0804756011809983,1.000260330536192,-0.0002603305361921,23868,0
5min,native,1,5.0,AR_BIC,gap_group,high,10476,0.0073220903115566,0.0578148789215786,0.085569213573321,1.000259085366462,-0.0002590853664621,23868,0
5min,native,1,5.0,AR_BIC,gap_group,low,12312,0.0058303665582846,0.0527476864109094,0.0763568370107394,1.0003514363918609,-0.0003514363918608,23868,0
5min,native,1,5.0,MA_BIC,all,all,23868,0.0065582508648263,0.0554641314151505,0.0809830282517663,1.000253086898402,-0.000253086898402,23868,0
5min,native,1,5.0,MA_BIC,time_band,fim,2652,0.0029519965883713,0.0331470081407414,0.0543322794328685,1.0005976330822273,-0.0005976330822272,23868,0
