date,symbol,observed_minutes,expected_minutes,missing_minutes,anchor_available,coverage,included,sample
2024-05-23,WINM24,540,540,0,True,1.0,True,train
2024-05-24,WINM24,540,540,0,True,1.0,True,train
2024-05-27,WINM24,540,540,0,True,1.0,True,train
2024-05-28,WINM24,540,540,0,True,1.0,True,train
2024-05-29,WINM24,540,540,0,True,1.0,True,train
2024-05-31,WINM24,540,540,0,True,1.0,True,train
2024-06-03,WINM24,540,540,0,True,1.0,True,train
2024-06-04,WINM24,540,540,0,True,1.0,True,train
2024-06-05,WINM24,540,540,0,True,1.0,True,train
2024-06-06,WINM24,540,540,0,True,1.0,True,train
2024-06-07,WINM24,539,540,1,True,0.9981481481481481,False,train
2024-06-10,WINM24,540,540,0,True,1.0,True,train
2024-06-11,WINM24,540,540,0,True,1.0,True,train
2024-06-12,WINQ24,540,540,0,True,1.0,True,train
2024-06-13,WINQ24,540,540,0,True,1.0,True,train
2024-06-14,WINQ24,540,540,0,True,1.0,True,train
2024-06-17,WINQ24,540,540,0,True,1.0,True,train
2024-06-18,WINQ24,540,540,0,True,1.0,True,train
2024-06-19,WINQ24,540,540,0,True,1.0,True,train
2024-06-20,WINQ24,540,540,0,True,1.0,True,train
2024-06-21,WINQ24,540,540,0,True,1.0,True,train
2024-06-24,WINQ24,540,540,0,True,1.0,True,train
2024-06-25,WINQ24,540,540,0,True,1.0,True,train
2024-06-26,WINQ24,540,540,0,True,1.0,True,train
2024-06-27,WINQ24,540,540,0,True,1.0,True,train
2024-06-28,WINQ24,540,540,0,True,1.0,True,train
2024-07-01,WINQ24,540,540,0,True,1.0,True,train
2024-07-02,WINQ24,540,540,0,True,1.0,True,train
2024-07-03,WINQ24,540,540,0,True,1.0,True,train
2024-07-04,WINQ24,540,540,0,True,1.0,True,train
2024-07-05,WINQ24,540,540,0,True,1.0,True,train
2024-07-08,WINQ24,540,540,0,True,1.0,True,train
2024-07-09,WINQ24,540,540,0,True,1.0,True,train
2024-07-10,WINQ24,540,540,0,True,1.0,True,train
2024-07-11,WINQ24,540,540,0,True,1.0,True,train
2024-07-12,WINQ24,540,540,0,True,1.0,True,train
2024-07-15,WINQ24,540,540,0,True,1.0,True,train
2024-07-16,WINQ24,540,540,0,True,1.0,True,train
2024-07-17,WINQ24,540,540,0,True,1.0,True,train
2024-07-18,WINQ24,540,540,0,True,1.0,True,train
2024-07-19,WINQ24,540,540,0,True,1.0,True,train
2024-07-22,WINQ24,540,540,0,True,1.0,True,train
2024-07-23,WINQ24,540,540,0,True,1.0,True,train
2024-07-24,WINQ24,540,540,0,True,1.0,True,train
2024-07-25,WINQ24,540,540,0,True,1.0,True,train
2024-07-26,WINQ24,540,540,0,True,1.0,True,train
2024-07-29,WINQ24,540,540,0,True,1.0,True,train
2024-07-30,WINQ24,540,540,0,True,1.0,True,train
2024-07-31,WINQ24,540,540,0,True,1.0,True,train
2024-08-01,WINQ24,540,540,0,True,1.0,True,train
2024-08-02,WINQ24,540,540,0,True,1.0,True,train
2024-08-05,WINQ24,540,540,0,True,1.0,True,train
2024-08-06,WINQ24,540,540,0,True,1.0,True,train
2024-08-07,WINQ24,540,540,0,True,1.0,True,train
2024-08-08,WINQ24,540,540,0,True,1.0,True,train
2024-08-09,WINQ24,540,540,0,True,1.0,True,train
2024-08-12,WINQ24,540,540,0,True,1.0,True,train
2024-08-13,WINQ24,540,540,0,True,1.0,True,train
2024-08-14,WINV24,540,540,0,True,1.0,True,train
2024-08-15,WINV24,540,540,0,True,1.0,True,train
2024-08-16,WINV24,540,540,0,True,1.0,True,train
2024-08-19,WINV24,540,540,0,True,1.0,True,train
2024-08-20,WINV24,540,540,0,True,1.0,True,train
2024-08-21,WINV24,540,540,0,True,1.0,True,train
2024-08-22,WINV24,540,540,0,True,1.0,True,train
2024-08-23,WINV24,540,540,0,True,1.0,True,train
2024-08-26,WINV24,540,540,0,True,1.0,True,train
2024-08-27,WINV24,540,540,0,True,1.0,True,train
2024-08-28,WINV24,540,540,0,True,1.0,True,train
2024-08-29,WINV24,540,540,0,True,1.0,True,train
2024-08-30,WINV24,540,540,0,True,1.0,True,train
2024-09-02,WINV24,540,540,0,True,1.0,True,train
2024-09-03,WINV24,540,540,0,True,1.0,True,train
2024-09-04,WINV24,540,540,0,True,1.0,True,train
2024-09-05,WINV24,540,540,0,True,1.0,True,train
2024-09-06,WINV24,540,540,0,True,1.0,True,train
2024-09-09,WINV24,540,540,0,True,1.0,True,train
2024-09-10,WINV24,540,540,0,True,1.0,True,train
2024-09-11,WINV24,540,540,0,True,1.0,True,train
2024-09-12,WINV24,540,540,0,True,1.0,True,train
2024-09-13,WINV24,540,540,0,True,1.0,True,train
2024-09-16,WINV24,540,540,0,True,1.0,True,train
2024-09-17,WINV24,540,540,0,True,1.0,True,train
2024-09-18,WINV24,540,540,0,True,1.0,True,train
2024-09-19,WINV24,540,540,0,True,1.0,True,train
2024-09-20,WINV24,540,540,0,True,1.0,True,train
2024-09-23,WINV24,540,540,0,True,1.0,True,train
2024-09-24,WINV24,540,540,0,True,1.0,True,train
2024-09-25,WINV24,540,540,0,True,1.0,True,train
2024-09-26,WINV24,540,540,0,True,1.0,True,train
2024-09-27,WINV24,540,540,0,True,1.0,True,train
2024-09-30,WINV24,540,540,0,True,1.0,True,train
2024-10-01,WINV24,540,540,0,True,1.0,True,train
2024-10-02,WINV24,540,540,0,True,1.0,True,train
2024-10-03,WINV24,540,540,0,True,1.0,True,train
2024-10-04,WINV24,540,540,0,True,1.0,True,train
2024-10-07,WINV24,540,540,0,True,1.0,True,train
2024-10-08,WINV24,540,540,0,True,1.0,True,train
2024-10-09,WINV24,540,540,0,True,1.0,True,train
2024-10-10,WINV24,540,540,0,True,1.0,True,train
2024-10-11,WINV24,540,540,0,True,1.0,True,train
2024-10-14,WINV24,540,540,0,True,1.0,True,train
2024-10-15,WINV24,540,540,0,True,1.0,True,train
2024-10-16,WINZ24,540,540,0,True,1.0,True,train
2024-10-17,WINZ24,540,540,0,True,1.0,True,train
2024-10-18,WINZ24,540,540,0,True,1.0,True,train
2024-10-21,WINZ24,540,540,0,True,1.0,True,train
2024-10-22,WINZ24,540,540,0,True,1.0,True,train
2024-10-23,WINZ24,540,540,0,True,1.0,True,train
2024-10-24,WINZ24,540,540,0,True,1.0,True,train
2024-10-25,WINZ24,540,540,0,True,1.0,True,train
2024-10-28,WINZ24,540,540,0,True,1.0,True,train
2024-10-29,WINZ24,540,540,0,True,1.0,True,train
2024-10-30,WINZ24,540,540,0,True,1.0,True,train
2024-10-31,WINZ24,540,540,0,True,1.0,True,train
2024-11-01,WINZ24,540,540,0,True,1.0,True,train
2024-11-04,WINZ24,540,540,0,True,1.0,True,train
2024-11-05,WINZ24,540,540,0,True,1.0,True,train
2024-11-06,WINZ24,540,540,0,True,1.0,True,train
2024-11-07,WINZ24,540,540,0,True,1.0,True,train
2024-11-08,WINZ24,540,540,0,True,1.0,True,train
2024-11-11,WINZ24,540,540,0,True,1.0,True,train
2024-11-12,WINZ24,540,540,0,True,1.0,True,train
2024-11-13,WINZ24,540,540,0,True,1.0,True,train
2024-11-14,WINZ24,540,540,0,True,1.0,True,train
2024-11-18,WINZ24,540,540,0,True,1.0,True,train
2024-11-19,WINZ24,540,540,0,True,1.0,True,train
2024-11-21,WINZ24,540,540,0,True,1.0,True,train
2024-11-22,WINZ24,540,540,0,True,1.0,True,train
2024-11-25,WINZ24,540,540,0,True,1.0,True,train
2024-11-26,WINZ24,540,540,0,True,1.0,True,train
2024-11-27,WINZ24,540,540,0,True,1.0,True,train
2024-11-28,WINZ24,540,540,0,True,1.0,True,train
2024-11-29,WINZ24,540,540,0,True,1.0,True,train
2024-12-02,WINZ24,540,540,0,True,1.0,True,train
2024-12-03,WINZ24,540,540,0,True,1.0,True,train
2024-12-04,WINZ24,540,540,0,True,1.0,True,train
2024-12-05,WINZ24,540,540,0,True,1.0,True,train
2024-12-06,WINZ24,540,540,0,True,1.0,True,train
2024-12-09,WINZ24,540,540,0,True,1.0,True,train
2024-12-10,WINZ24,540,540,0,True,1.0,True,train
2024-12-11,WINZ24,540,540,0,True,1.0,True,train
2024-12-12,WINZ24,540,540,0,True,1.0,True,train
2024-12-13,WINZ24,540,540,0,True,1.0,True,train
2024-12-16,WINZ24,540,540,0,True,1.0,True,train
2024-12-17,WINZ24,540,540,0,True,1.0,True,train
2024-12-18,WING25,540,540,0,True,1.0,True,train
2024-12-19,WING25,540,540,0,True,1.0,True,train
2024-12-20,WING25,540,540,0,True,1.0,True,train
2024-12-23,WING25,540,540,0,True,1.0,True,train
2024-12-26,WING25,540,540,0,True,1.0,True,train
2024-12-27,WING25,540,540,0,True,1.0,True,train
2024-12-30,WING25,540,540,0,True,1.0,True,train
2025-01-02,WING25,540,540,0,True,1.0,True,test
2025-01-03,WING25,540,540,0,True,1.0,True,test
2025-01-06,WING25,540,540,0,True,1.0,True,test
2025-01-07,WING25,540,540,0,True,1.0,True,test
2025-01-08,WING25,540,540,0,True,1.0,True,test
2025-01-09,WING25,540,540,0,True,1.0,True,test
2025-01-10,WING25,540,540,0,True,1.0,True,test
2025-01-13,WING25,540,540,0,True,1.0,True,test
2025-01-14,WING25,540,540,0,True,1.0,True,test
2025-01-15,WING25,540,540,0,True,1.0,True,test
2025-01-16,WING25,540,540,0,True,1.0,True,test
2025-01-17,WING25,540,540,0,True,1.0,True,test
2025-01-20,WING25,540,540,0,True,1.0,True,test
2025-01-21,WING25,540,540,0,True,1.0,True,test
2025-01-22,WING25,540,540,0,True,1.0,True,test
2025-01-23,WING25,540,540,0,True,1.0,True,test
2025-01-24,WING25,540,540,0,True,1.0,True,test
2025-01-27,WING25,540,540,0,True,1.0,True,test
2025-01-28,WING25,540,540,0,True,1.0,True,test
2025-01-29,WING25,540,540,0,True,1.0,True,test
2025-01-30,WING25,540,540,0,True,1.0,True,test
2025-01-31,WING25,540,540,0,True,1.0,True,test
2025-02-03,WING25,540,540,0,True,1.0,True,test
2025-02-04,WING25,540,540,0,True,1.0,True,test
2025-02-05,WING25,540,540,0,True,1.0,True,test
2025-02-06,WING25,540,540,0,True,1.0,True,test
2025-02-07,WING25,540,540,0,True,1.0,True,test
2025-02-10,WING25,540,540,0,True,1.0,True,test
2025-02-11,WING25,540,540,0,True,1.0,True,test
2025-02-12,WINJ25,540,540,0,True,1.0,True,test
2025-02-13,WINJ25,540,540,0,True,1.0,True,test
2025-02-14,WINJ25,540,540,0,True,1.0,True,test
2025-02-17,WINJ25,540,540,0,True,1.0,True,test
2025-02-18,WINJ25,540,540,0,True,1.0,True,test
2025-02-19,WINJ25,540,540,0,True,1.0,True,test
2025-02-20,WINJ25,540,540,0,True,1.0,True,test
2025-02-21,WINJ25,540,540,0,True,1.0,True,test
2025-02-24,WINJ25,540,540,0,True,1.0,True,test
2025-02-25,WINJ25,540,540,0,True,1.0,True,test
2025-02-26,WINJ25,540,540,0,True,1.0,True,test
2025-02-27,WINJ25,540,540,0,True,1.0,True,test
2025-02-28,WINJ25,540,540,0,True,1.0,True,test
2025-03-05,WINJ25,305,540,235,False,0.5648148148148148,False,test
2025-03-06,WINJ25,540,540,0,True,1.0,True,test
2025-03-07,WINJ25,540,540,0,True,1.0,True,test
2025-03-10,WINJ25,540,540,0,True,1.0,True,test
2025-03-11,WINJ25,540,540,0,True,1.0,True,test
2025-03-12,WINJ25,540,540,0,True,1.0,True,test
2025-03-13,WINJ25,540,540,0,True,1.0,True,test
2025-03-14,WINJ25,540,540,0,True,1.0,True,test
2025-03-17,WINJ25,540,540,0,True,1.0,True,test
2025-03-18,WINJ25,540,540,0,True,1.0,True,test
2025-03-19,WINJ25,540,540,0,True,1.0,True,test
2025-03-20,WINJ25,540,540,0,True,1.0,True,test
2025-03-21,WINJ25,540,540,0,True,1.0,True,test
2025-03-24,WINJ25,540,540,0,True,1.0,True,test
2025-03-25,WINJ25,540,540,0,True,1.0,True,test
2025-03-26,WINJ25,540,540,0,True,1.0,True,test
2025-03-27,WINJ25,540,540,0,True,1.0,True,test
2025-03-28,WINJ25,540,540,0,True,1.0,True,test
2025-03-31,WINJ25,540,540,0,True,1.0,True,test
2025-04-01,WINJ25,540,540,0,True,1.0,True,test
2025-04-02,WINJ25,540,540,0,True,1.0,True,test
2025-04-03,WINJ25,540,540,0,True,1.0,True,test
2025-04-04,WINJ25,540,540,0,True,1.0,True,test
2025-04-07,WINJ25,540,540,0,True,1.0,True,test
