scale,p,q,nobs,h,df,principal_horizon,lb_stat,lb_pvalue,lb_df_software,lb_pvalue_software,lb_squared_stat,lb_squared_pvalue,arch_lags,arch_lm,arch_lm_pvalue,arch_f,arch_f_pvalue,jb_stat,jb_pvalue,residual_type,main_df_rule,calibration,model
5min,0,0,26568,24,23,True,33.18102130343621,0.0779638716673896,24,0.1003112054371139,1030.36016005903,3.161423558590214e-202,12,803.4956016875742,2.9454966037080584e-164,69.0133000455899,7.263249997558136e-167,525920.2652150383,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
5min,0,0,26568,60,59,False,68.77270130133817,0.1801212324356515,60,0.2046781677822436,1043.145001570265,2.3137738135725988e-179,12,803.4956016875742,2.9454966037080584e-164,69.0133000455899,7.263249997558136e-167,525920.2652150383,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
5min,1,0,26568,10,8,False,17.609601099272595,0.0243515746825245,9,0.0399827008080746,952.8821486636746,2.6287531244237337e-198,12,796.6816882066585,8.517933996524126e-163,68.41259910068094,2.2955777958596525e-165,525340.028430961,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
5min,1,0,26568,12,10,False,22.46565666371835,0.0129003738414527,11,0.0210039827147177,977.9614630540976,1.023525027903569e-201,12,796.6816882066585,8.517933996524126e-163,68.41259910068094,2.2955777958596525e-165,525340.028430961,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
5min,1,0,26568,20,18,False,31.305853404104877,0.0265276022524884,19,0.0373587431423005,1019.0210708755473,3.425515033983296e-203,12,796.6816882066585,8.517933996524126e-163,68.41259910068094,2.2955777958596525e-165,525340.028430961,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
5min,1,0,26568,24,22,True,33.09499315999133,0.0605500526323352,23,0.079425621802805,1023.6686915702012,8.353188635207638e-201,12,796.6816882066585,8.517933996524126e-163,68.41259910068094,2.2955777958596525e-165,525340.028430961,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
5min,1,0,26568,60,58,False,68.70243021003598,0.1587849389026717,59,0.1816586238520713,1036.4464858209212,5.469070804545747e-178,12,796.6816882066585,8.517933996524126e-163,68.41259910068094,2.2955777958596525e-165,525340.028430961,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
5min,0,1,26568,10,8,False,17.607893122717265,0.0243661529258414,9,0.0400050139856367,952.7149239913635,2.8559982071883527e-198,12,796.5136172070585,9.254936277638868e-163,68.39772022878537,2.5005920499198016e-165,525325.9268652222,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
5min,0,1,26568,12,10,False,22.46343264749257,0.0129101384160848,11,0.0210189879087343,977.7926318387084,1.112719155507565e-201,12,796.5136172070585,9.254936277638868e-163,68.39772022878537,2.5005920499198016e-165,525325.9268652222,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
5min,0,1,26568,20,18,False,31.303863147314413,0.0265417683088861,19,0.0373776860812985,1018.8530274284888,3.7202550565907867e-203,12,796.5136172070585,9.254936277638868e-163,68.39772022878537,2.5005920499198016e-165,525325.9268652222,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
5min,0,1,26568,24,22,True,33.0928962622205,0.0605790067849392,23,0.0794615393983695,1023.501033538198,9.067296899408962e-201,12,796.5136172070585,9.254936277638868e-163,68.39772022878537,2.5005920499198016e-165,525325.9268652222,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
5min,0,1,26568,60,58,False,68.7007770846694,0.1588181286465192,59,0.1816949020083492,1036.2786080148271,5.92013680338736e-178,12,796.5136172070585,9.254936277638868e-163,68.39772022878537,2.5005920499198016e-165,525325.9268652222,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
