scale,p,q,nobs,h,df,principal_horizon,lb_stat,lb_pvalue,lb_df_software,lb_pvalue_software,lb_squared_stat,lb_squared_pvalue,arch_lags,arch_lm,arch_lm_pvalue,arch_f,arch_f_pvalue,jb_stat,jb_pvalue,residual_type,main_df_rule,calibration,model
60min,0,1,2214,60,58,False,50.4967283320505,0.7474715520399365,59,0.776887352759176,176.73512834637833,1.939802371884963e-13,12,39.90902840352158,7.445204876069662e-05,3.3687022096518526,6.797825801021082e-05,3036.9104322531425,0.0,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1d,0,0,246,10,9,False,9.983947402080368,0.3517863282793209,10,0.4419027672001602,26.621088070608213,0.0029888161772288,12,35.44656364599773,0.0003974359746713,3.2878179251616166,0.0002145796735816,26.014539188064024,2.2439573111599968e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1d,0,0,246,12,11,False,10.084182347783084,0.5228311806963337,12,0.6085754615726713,27.354290055790585,0.0068686047153252,12,35.44656364599773,0.0003974359746713,3.2878179251616166,0.0002145796735816,26.014539188064024,2.2439573111599968e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1d,0,0,246,20,19,True,19.92900543405743,0.3988615585775146,20,0.4623785881247307,41.25997868479692,0.0034490943673436,12,35.44656364599773,0.0003974359746713,3.2878179251616166,0.0002145796735816,26.014539188064024,2.2439573111599968e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1d,0,0,246,24,23,False,22.26736247553181,0.5041639216162543,24,0.5633124500393449,43.94762025983314,0.0077375819499473,12,35.44656364599773,0.0003974359746713,3.2878179251616166,0.0002145796735816,26.014539188064024,2.2439573111599968e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,ARMA_BIC
1d,1,0,246,10,8,False,9.503723610252036,0.3015979654179549,9,0.3921323809071887,25.246043947787467,0.0048981380790713,12,33.44251618339314,0.0008254043523345,3.0863271136960613,0.0004680404781099,23.70968574741844,7.104068756859818e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1d,1,0,246,12,10,False,9.627883930306668,0.4737238744065533,11,0.5641367933583918,25.89758560047368,0.0110977156376197,12,33.44251618339314,0.0008254043523345,3.0863271136960613,0.0004680404781099,23.70968574741844,7.104068756859818e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1d,1,0,246,20,18,True,18.6686756883764,0.4124871602001192,19,0.4782682877149851,40.03841997263078,0.0049398408877269,12,33.44251618339314,0.0008254043523345,3.0863271136960613,0.0004680404781099,23.70968574741844,7.104068756859818e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1d,1,0,246,24,22,False,21.138330079899067,0.5122036249597393,23,0.5726401084930086,42.94703553690228,0.010086467648325,12,33.44251618339314,0.0008254043523345,3.0863271136960613,0.0004680404781099,23.70968574741844,7.104068756859818e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,AR_BIC
1d,0,1,246,10,8,False,9.506277436424613,0.3014008176352541,9,0.3919106838304043,25.29198781328377,0.0048186820666427,12,33.51122245096905,0.000805176040747,3.0937329961848348,0.0004548767963499,23.755809572076032,6.942110062718907e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1d,0,1,246,12,10,False,9.628160631360924,0.4736987497886216,11,0.5641115174084357,25.93480228571069,0.0109641776762217,12,33.51122245096905,0.000805176040747,3.0937329961848348,0.0004548767963499,23.755809572076032,6.942110062718907e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1d,0,1,246,20,18,True,18.7025625640676,0.4103503301835579,19,0.4760607092398118,40.042975596362815,0.0049332904161086,12,33.51122245096905,0.000805176040747,3.0937329961848348,0.0004548767963499,23.755809572076032,6.942110062718907e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
1d,0,1,246,24,22,False,21.169859055192507,0.5102627049953419,23,0.570715125292933,42.94743785838306,0.0100854023503943,12,33.51122245096905,0.000805176040747,3.0937329961848348,0.0004548767963499,23.755809572076032,6.942110062718907e-06,standardized_one_step_innovation,Aula4_h_minus_p_minus_q_minus_constant,conventional_asymptotic_not_heteroskedasticity_robust,MA_BIC
