sample,gap_group,days,gaps_available,gap_mean_pct,gap_std_pct
test,high,97,97,-0.033211719511167484,0.484692755816148
test,low,114,114,-0.006659204608549318,0.10980664371518987
test,unavailable,10,0,,
train,high,117,117,0.004156493883912733,0.4757729560121894
train,low,117,117,0.009343602296012695,0.11852832427351048
train,unavailable,12,0,,
