scale,evaluation,model_a,model_b,horizon_bars,variant,n,loss,q_requested,q,h_loss,mean_loss_difference,long_run_variance,statistic,p_value,status,lrv_estimator,reference_distribution,interpretation
15min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,7956,squared,0,0,1,4.4692249164612665e-08,5.140117276028968e-11,0.5559884751738984,0.5782343702993641,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,7956,absolute,4,4,1,2.604404965618675e-07,1.8845322404138008e-10,1.6921030989463377,0.0906654805320041,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,7956,absolute,0,0,1,2.604404965618675e-07,1.9010350037068783e-10,1.684742570664067,0.0920774753413105,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,common_60min,AR_BIC,MA_BIC,4,principal_serial_dependence,1989,squared,1,1,1,2.643411075901315e-07,2.0098229600318252e-10,0.8313693201058409,0.4058648669290141,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,common_60min,AR_BIC,MA_BIC,4,ancillary_no_serial_dependence,1989,squared,0,0,1,2.643411075901315e-07,2.434964362384742e-10,0.755312358477086,0.4501510601362533,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,common_60min,AR_BIC,MA_BIC,4,principal_serial_dependence,1989,absolute,1,1,1,2.956080986406475e-07,4.0155461370650506e-10,0.6577369013854489,0.5107833552254338,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
15min,common_60min,AR_BIC,MA_BIC,4,ancillary_no_serial_dependence,1989,absolute,0,0,1,2.956080986406475e-07,3.8845990287757404e-10,0.6687309437053984,0.5037447665167865,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,3978,squared,2,2,1,5.1686896645718896e-08,7.62144480307983e-10,0.1180700095724352,0.9060181486984966,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,3978,squared,0,0,1,5.1686896645718896e-08,8.937466029782694e-10,0.1090312649640956,0.9131831929310472,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,3978,absolute,2,2,1,-1.1187953243712475e-06,2.9817596314648923e-09,-1.2920880885114197,0.1964017146933379,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,3978,absolute,0,0,1,-1.1187953243712475e-06,3.200070174210497e-09,-1.2472361419340108,0.2123843660889278,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,common_60min,AR_BIC,MA_BIC,2,principal_serial_dependence,1989,squared,1,1,1,-6.504945717304571e-07,1.3934563650919907e-09,-0.7769716631438537,0.4372679277156974,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,common_60min,AR_BIC,MA_BIC,2,ancillary_no_serial_dependence,1989,squared,0,0,1,-6.504945717304571e-07,1.396659336658317e-09,-0.7760802336769173,0.4377939307610321,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,common_60min,AR_BIC,MA_BIC,2,principal_serial_dependence,1989,absolute,1,1,1,-3.8716631422082283e-07,2.3053478371729316e-09,-0.3595319771123805,0.7192353458459788,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
30min,common_60min,AR_BIC,MA_BIC,2,ancillary_no_serial_dependence,1989,absolute,0,0,1,-3.8716631422082283e-07,2.192578391275888e-09,-0.3686618424987061,0.7124190484586126,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,1989,squared,1,1,1,8.046445940725914e-06,2.461794565528772e-07,0.7230800569841697,0.4697157616171705,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,1989,squared,0,0,1,8.046445940725914e-06,2.766690039554216e-07,0.682074847531364,0.4952710820955326,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,native,AR_BIC,MA_BIC,1,principal_serial_dependence,1989,absolute,1,1,1,1.4965685575420896e-05,5.612106419214947e-07,0.8907213409081853,0.3731864652781032,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,1989,absolute,0,0,1,1.4965685575420896e-05,6.199830757651988e-07,0.8474515716452019,0.3968454807613524,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,common_60min,AR_BIC,MA_BIC,1,principal_serial_dependence,1989,squared,1,1,1,8.046445940725914e-06,2.461794565528772e-07,0.7230800569841697,0.4697157616171705,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,common_60min,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,1989,squared,0,0,1,8.046445940725914e-06,2.766690039554216e-07,0.682074847531364,0.4952710820955326,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,common_60min,AR_BIC,MA_BIC,1,principal_serial_dependence,1989,absolute,1,1,1,1.4965685575420896e-05,5.612106419214947e-07,0.8907213409081853,0.3731864652781032,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
60min,common_60min,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,1989,absolute,0,0,1,1.4965685575420896e-05,6.199830757651988e-07,0.8474515716452019,0.3968454807613524,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1d,native,AR_BIC,MA_BIC,1,principal_serial_dependence,221,squared,1,1,1,-0.0001358570462106,1.1572509091587553e-05,-0.5923518416843876,0.5542233192704393,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1d,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,221,squared,0,0,1,-0.0001358570462106,1.012098522178692e-05,-0.6334059125961504,0.5271265212845723,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1d,native,AR_BIC,MA_BIC,1,principal_serial_dependence,221,absolute,1,1,1,-0.0001791725485995,3.279802011421343e-06,-1.46743542050313,0.1436857735138128,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
1d,native,AR_BIC,MA_BIC,1,ancillary_no_serial_dependence,221,absolute,0,0,1,-0.0001791725485995,2.9409652365980425e-06,-1.5496651491148852,0.1226592266196937,computed_approximate,rectangular_autocovariance_sum,Student_t_n_minus_1_with_HLN_correction,negative_statistic_favors_AR; unadjusted_multiple_comparisons; approximate_stationary_loss_assumption
