scale,n,mean_pct,std_pct,skewness,excess_kurtosis,zero_share,start,end,trading_days
1min,132840,-0.0001221282131312,0.0321061315012109,0.2288522629015439,20.184338618058717,0.0673291177356218,2024-01-02,2024-12-30,246
5min,26568,-0.0006106410656563,0.0713689118181963,0.6784037244476513,21.754198000649083,0.0293209876543209,2024-01-02,2024-12-30,246
15min,8856,-0.0018319231969689,0.1216489099934707,0.4881073165439255,8.432951797431702,0.0159214092140921,2024-01-02,2024-12-30,246
30min,4428,-0.0036638463939379,0.1711373905902336,0.1841795083649413,5.06563464605636,0.0124209575429087,2024-01-02,2024-12-30,246
60min,2214,-0.0073276927878759,0.2446160441255266,0.0158257875785895,5.89906574536572,0.0085817524841915,2024-01-02,2024-12-30,246
1d,246,-0.065483154884658,0.784950414733,-0.5270058836691145,1.194597429069014,0.0,2024-01-02,2024-12-30,246
