scale,lag,acf,pacf,n,valid_pairs,white_noise_pointwise_band,pacf_method,sequence,model
1min,47,0.0009376215182374,0.0010224766447609,132840,132793,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,48,-0.0009628405648141,-0.001142755753459,132840,132792,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,49,-0.0043179268927922,-0.004362431627242,132840,132791,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,50,-0.001191308846076,-0.0009911466635988,132840,132790,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,51,-0.0043467011357656,-0.0044247550145688,132840,132789,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,52,0.0008743510284701,0.0007858802565977,132840,132788,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,53,-0.0014475202565321,-0.0015044606630988,132840,132787,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,54,-0.0073880476716841,-0.0074751786721865,132840,132786,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,55,-0.0060224835673605,-0.0058364466198197,132840,132785,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,56,-0.0025379834163938,-0.0026453515064001,132840,132784,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,57,0.0006819522537741,0.0007203502819922,132840,132783,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,58,0.0032272623380713,0.0031666643714615,132840,132782,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,59,-0.0029061205409611,-0.0030361177477024,132840,132781,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,60,0.0020075912762286,0.0019402580084012,132840,132780,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,ARMA_BIC
1min,1,-2.1587873567850745e-05,-2.15878735678557e-05,132840,132839,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,2,-0.0026679941982234,-0.002667994665503,132840,132838,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,3,0.0030671740281981,0.0030670805153867,132840,132837,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,4,0.0043039833661104,0.0042970438637013,132840,132836,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,5,-0.0037132430412677,-0.0036968340176832,132840,132835,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,6,0.0093626030749711,0.0093764110202117,132840,132834,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,7,-0.0042904330636624,-0.0043371720743828,132840,132833,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,8,-0.0028655653344776,-0.0028114769736431,132840,132832,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,9,-0.0032932885251575,-0.0033418975187782,132840,132831,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,10,-0.0103918174000041,-0.0104769252337808,132840,132830,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,11,-0.0012207310525495,-0.001114242947798,132840,132829,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,12,0.0064210915856722,0.0062915796139851,132840,132828,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,13,0.000261198190826,0.0004071153705449,132840,132827,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,14,0.0037269435172438,0.0038710199570173,132840,132826,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,15,0.0083461421600072,0.0082827415084749,132840,132825,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,16,-0.0048404624947122,-0.0047296822170356,132840,132824,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,17,-0.0028744816472635,-0.0028969716456885,132840,132823,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,18,-0.0012762266744871,-0.0015841222585006,132840,132822,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,19,-0.0046117859340461,-0.0046750744758215,132840,132821,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,20,-0.0056315609347084,-0.005669211879661,132840,132820,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,21,-0.0059103577521107,-0.0060417485419244,132840,132819,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,22,-0.0039573056404784,-0.0036542929526494,132840,132818,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,23,0.0072089638065219,0.0073549756882097,132840,132817,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,24,0.0048290096912418,0.0049366973169138,132840,132816,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,25,0.003816522868162,0.0040992507484859,132840,132815,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,26,0.0006455793299156,0.0005320658475122,132840,132814,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,27,-0.0032116585011363,-0.0034675479776693,132840,132813,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
1min,28,-0.0027084519039559,-0.0027651620288216,132840,132812,0.0053776389150922,Yule_Walker_MLE,annual_trading_time,AR_BIC
