scale,model,series,test,lag,nobs,statistic,pvalue,reference_df,model_df,f_statistic,f_pvalue,reject_5pct,sample,reference_caveat
5min,garch11,standardized_residuals,Ljung-Box,20,26568,18.235609066694995,0.5718907948084998,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
5min,garch11,standardized_residuals,Ljung-Box,24,26568,19.386101786390736,0.731097315043298,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
5min,garch11,squared_standardized_residuals,Ljung-Box,10,26568,0.7638450905185388,0.9999506695785242,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
5min,garch11,squared_standardized_residuals,Ljung-Box,20,26568,2.255350237244869,0.9999996697432616,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
5min,garch11,squared_standardized_residuals,Ljung-Box,24,26568,2.496776756808882,0.9999999905115036,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,fixed_arma_mean,innovations,ARCH-LM,10,8856,258.9224125261431,7.204128761958786e-50,10,0,26.63979091100115,1.223816180364682e-50,True,train_2024,asymptotic; innovations from a pre-estimated mean
15min,fixed_arma_mean,innovations,ARCH-LM,20,8856,263.4513689926681,2.1878282485339477e-44,20,0,13.545118946717976,4.00057067691261e-45,True,train_2024,asymptotic; innovations from a pre-estimated mean
15min,fixed_arma_mean,innovations,ARCH-LM,24,8856,265.0546674018332,1.6812349418444493e-42,24,0,11.353407219945408,3.174082696864125e-43,True,train_2024,asymptotic; innovations from a pre-estimated mean
15min,constant,standardized_residuals,Ljung-Box,10,8856,14.416202565014263,0.1548395790016482,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,constant,standardized_residuals,Ljung-Box,20,8856,23.0693392419246,0.2854026742417748,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,constant,standardized_residuals,Ljung-Box,24,8856,23.895298344734915,0.4675974569699855,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,constant,squared_standardized_residuals,Ljung-Box,10,8856,319.5599077345174,1.1304873482674595e-62,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,constant,squared_standardized_residuals,Ljung-Box,20,8856,325.2943344110414,5.361013831442117e-57,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,constant,squared_standardized_residuals,Ljung-Box,24,8856,326.36323274525256,7.933374079996937e-55,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,arch1,standardized_residuals,Ljung-Box,10,8856,15.284214535959045,0.1220383581887226,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,arch1,standardized_residuals,Ljung-Box,20,8856,24.54158369882157,0.2195345906279505,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,arch1,standardized_residuals,Ljung-Box,24,8856,25.53719008764179,0.377057473199267,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,arch1,squared_standardized_residuals,Ljung-Box,10,8856,42.07881117896488,7.2603750271680625e-06,10,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,arch1,squared_standardized_residuals,Ljung-Box,20,8856,49.81968480851233,0.0002350259906254,20,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,arch1,squared_standardized_residuals,Ljung-Box,24,8856,50.729786243836735,0.0011423128099627,24,0,,,True,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,garch11,standardized_residuals,Ljung-Box,10,8856,13.85894638923902,0.1795232739068938,10,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,garch11,standardized_residuals,Ljung-Box,20,8856,23.116380732409755,0.2831161986733875,20,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
15min,garch11,standardized_residuals,Ljung-Box,24,8856,24.19162827933968,0.4506841687619708,24,0,,,False,train_2024,approximate after fixed-mean and variance estimation; no df adjustment
