scale,month,n,mean_pct,std_pct,skewness,excess_kurtosis,zero_share
1min,2024-01,11880,-0.0003451062117816,0.0329573855869232,-0.2153079824786471,4.568835930032171,0.056060606060606
1min,2024-02,9180,-6.300642712718541e-05,0.030252117589066,-0.8493711570658341,15.611999982600135,0.0635076252723311
1min,2024-03,10260,5.890083347841009e-06,0.0269671283642505,0.1871591900229239,3.8440684852412,0.0785575048732943
1min,2024-04,11340,-0.0004412241665507,0.0352827504621948,-0.5498671915655132,16.295623019437567,0.0601410934744268
1min,2024-05,11340,-0.0002410704071718,0.0289705876470089,2.714113063342808,83.6256620554236,0.0776014109347442
1min,2024-06,10260,0.0003270513938805,0.0342135417621788,0.8274839138800953,19.17347073797433,0.0631578947368421
1min,2024-07,12420,0.0001999222632973,0.0281882631535683,0.1830358101600583,4.973529725004855,0.0792270531400966
1min,2024-08,11880,0.0005595356278711,0.029648866651171,0.1442857374622888,11.02708825377707,0.0704545454545454
1min,2024-09,11340,-0.0006851293437169,0.0313679424031638,0.2500847875612301,7.980016790684326,0.0694885361552028
1min,2024-10,12420,-2.6169505572557783e-05,0.0319470542870614,-0.0586576539535048,3.4496162611491767,0.0691626409017713
1min,2024-11,10260,-0.0001687326619304,0.036059513359615,-1.0029861946128855,32.43466601381943,0.0596491228070175
1min,2024-12,10260,-0.0006363293144838,0.0382715562224088,1.3892459382386648,25.83669659931078,0.0583820662768031
5min,2024-01,2376,-0.0017255310589084,0.0739854556877562,-0.1700241335817511,2.0426148971650457,0.0294612794612794
5min,2024-02,1836,-0.0003150321356363,0.0678147709017108,-1.3910378462599835,19.77431862255252,0.0315904139433551
5min,2024-03,2052,2.945041673896353e-05,0.0605431807235972,0.1397976503900214,4.505076406810222,0.033625730994152
5min,2024-04,2268,-0.0022061208327534,0.0801590123284822,-0.6680489861629227,13.172958186396867,0.0295414462081128
5min,2024-05,2268,-0.00120535203586,0.0685512553541354,4.5038019520712185,101.04739702696148,0.0343915343915343
5min,2024-06,2052,0.0016352569694026,0.0769864568594749,1.056507082969672,17.37877083810845,0.0311890838206627
5min,2024-07,2484,0.0009996113164864,0.0625551027706505,0.3197436189436309,3.5052961387423576,0.03743961352657
5min,2024-08,2376,0.0027976781393563,0.063476609555879,0.1479166423862279,4.792047545224689,0.0231481481481481
5min,2024-09,2268,-0.003425646718584,0.0694868485481778,0.049257325633409,5.148916637355921,0.0295414462081128
5min,2024-10,2484,-0.0001308475278628,0.0669660686368421,-0.0141328330232534,2.341986493226657,0.0265700483091787
5min,2024-11,2052,-0.0008436633096527,0.0761582464792767,-0.0913938252408871,4.9104666438816285,0.023391812865497
5min,2024-12,2052,-0.0031816465724192,0.0873149880123074,2.7919804239732877,44.5304570641601,0.0214424951267056
15min,2024-01,792,-0.0051765931767258,0.122380657175078,-0.0976562891720964,1.1652147747416048,0.0164141414141414
15min,2024-02,612,-0.0009450964069084,0.1107611158558982,-0.7939132805286047,4.784753251517068,0.0130718954248366
15min,2024-03,684,8.83512502160631e-05,0.1006957981485193,0.0890749857575052,3.300866580040469,0.0160818713450292
15min,2024-04,756,-0.0066183624982608,0.129380898468484,-0.3524201210583349,4.8077867548269415,0.0092592592592592
15min,2024-05,756,-0.0036160561075794,0.1173843585518445,2.086329017244744,25.92116694135061,0.0264550264550264
15min,2024-06,684,0.0049057709082076,0.1414230927796215,0.7495582271007627,8.709911620195824,0.0160818713450292
15min,2024-07,828,0.0029988339494591,0.1080172823756533,0.4777808331797705,4.30739059483513,0.0217391304347826
15min,2024-08,792,0.0083930344180685,0.1081312578931712,0.2663422687907747,4.700464987956643,0.0138888888888888
15min,2024-09,756,-0.0102769401557518,0.1212337735624912,0.00576496744149,1.946562303874825,0.0211640211640211
15min,2024-10,828,-0.0003925425835885,0.1141041106547124,0.0490491391339774,1.907059512660135,0.0120772946859903
15min,2024-11,684,-0.0025309899289585,0.1308061631630165,-0.0124309650968708,1.9649080736273452,0.0102339181286549
15min,2024-12,684,-0.0095449397172577,0.1499678788016646,1.9545249564526852,17.911289660767107,0.0131578947368421
30min,2024-01,396,-0.0103531863534508,0.1737305050088119,0.0088969853692178,1.1619295412087736,0.0176767676767676
30min,2024-02,306,-0.0018901928138168,0.1554359198664621,-0.4553837050414656,1.7063060023616954,0.0032679738562091
30min,2024-03,342,0.0001767025004327,0.1480689423973906,0.0367604808648317,2.868634961461021,0.0175438596491228
30min,2024-04,378,-0.0132367249965219,0.1867627632716364,-0.08509708193629,2.926858333600186,0.0158730158730158
30min,2024-05,378,-0.0072321122151595,0.1613744088200771,1.3146636449916738,9.107661374574883,0.0185185185185185
30min,2024-06,342,0.0098115418164158,0.200041264631772,-0.0599437245344053,6.863628906603422,0.0116959064327485
30min,2024-07,414,0.005997667898918,0.1364831828416916,0.6612992835279383,3.6535911954356566,0.0120772946859903
30min,2024-08,396,0.0167860688361369,0.1479051105014961,0.4757459212638782,3.835687348905691,0.0075757575757575
30min,2024-09,378,-0.0205538803115035,0.1822479461620787,-0.2055365120107542,1.970054053344625,0.0132275132275132
30min,2024-10,414,-0.0007850851671773,0.1643282183458305,-0.2469159490906912,3.340582177940976,0.0072463768115942
30min,2024-11,342,-0.0050619798579168,0.1852295382378647,-0.2518689674618455,2.176740448881957,0.0146198830409356
30min,2024-12,342,-0.019089879434516,0.202958516848587,1.2410246082904397,10.757736305736818,0.0087719298245614
60min,2024-01,198,-0.0207063727069018,0.22853994372269,-0.1683583728982992,0.4716783990661186,0.0101010101010101
60min,2024-02,153,-0.0037803856276334,0.2347113891513605,-0.4146194650369105,2.144348358192887,0.0065359477124183
60min,2024-03,171,0.0003534050008652,0.1980376818599595,0.1234925087017027,1.4111554094835066,0.0
60min,2024-04,189,-0.0264734499930437,0.2804627043788162,-0.1097554000822221,3.121865258964659,0.0052910052910052
