scale,label,n,train_days,returns_per_session,mean,std,zero_share,skewness,excess_kurtosis,acf_lag1,pacf_lag1,acf_ci_lag1,abs_acf_lag1,squared_acf_lag1,max_abs_acf_native,max_abs_acf_native_lag,max_abs_pacf_native,max_abs_pacf_native_lag,native_max_lag,acf_at_common_horizon,pacf_at_common_horizon,acf_ci_at_common_horizon,abs_acf_at_common_horizon
1min,1 minuto,132840,246,540,-0.00012212821313124079,0.032106131501210944,0.06732911773562181,0.22885484708813972,20.185143530802147,-0.008154120719197626,-0.008129513557293872,0.005382625136761547,0.24229535553357656,0.2769338990910422,0.010389195351683757,10,0.010349924146003315,10,60,0.0036854670223917005,0.0034141091778088347,0.005703847415451556,0.10864677058823376
5min,5 minutos,26568,246,108,-0.0006106410656563001,0.07136891181819634,0.029320987654320986,0.6784420291376605,21.75851848521437,0.0024396615186024822,0.002416801353861768,0.012080825992448873,0.21644081635068027,0.16157379334958036,0.017394301133468747,11,0.01581317868845131,11,30,-0.0020492887003060443,-0.0022730491607655962,0.012754190554236162,0.11039221416396132
15min,15 minutos,8856,246,36,-0.001831923196968992,0.12164890999347075,0.01592140921409214,0.4881900084441883,8.438392698141433,0.00706198744013198,0.006901237632911897,0.021122946333043076,0.19945486087588846,0.15557765441326707,0.054842366845726645,26,0.028608216919175655,26,30,-0.02639237861388277,-0.024248479593971896,0.02209090604935209,0.13001336240524766
30min,30 minutos,4428,246,18,-0.0036638463939379848,0.1711373905902336,0.012420957542908763,0.18424192681561327,5.072715541515965,0.009532872656896908,0.009090386781477187,0.030308473055839787,0.1760828080700179,0.1311753299317724,0.062296060508145006,15,0.035694849389335,5,17,-0.02443118836656809,-0.02274302054437439,0.031241258940103576,0.12090035502573798
60min,60 minutos,2214,246,9,-0.007327692787875979,0.2446160441255266,0.008581752484191508,0.015836518947332574,5.915124561170998,-0.04534359430410923,-0.04210527477314138,0.04418181209870418,0.16358981521694355,0.12416653313250431,0.13246136914348314,7,0.06576875668093682,7,8,-0.04534359430410923,-0.04210527477314138,0.04418181209870418,0.16358981521694355
1d,1 dia,246,246,1,-0.065483154884658,0.784950414733,0.0,-0.5302445742112897,1.2440306182977707,-0.02557664246595705,-0.024731002151075796,0.1275851327612074,0.03195592340320749,0.07624741067610616,0.1441133634840276,14,0.17306505762814567,14,15,,,,
