definition,n,mean,std,skewness,excess_kurtosis,max_abs_acf,max_abs_pacf
open_to_close_common_window,246,-0.065483154884658,0.784950414733,-0.5302445742112897,1.2440306182977707,0.1441133634840276,0.17306505762814567
boundary_to_close_intraday_reconciliation,246,-0.06594923509087003,0.7849896254438393,-0.5288855912703666,1.239418344913223,0.14354907626686284,0.1724054037986782
close_to_close_same_contract_robustness,236,-0.05118549558560197,0.8200863431140489,-0.18411861011441766,0.35563393856654013,0.1548891407017953,0.18874570007993366
