scale,tested_segments,n_min,n_max,supports_i0_share,supports_unit_root_share,inconclusive_share
15min,246,36,36,0.9308943089430894,0.0,0.06910569105691057
1d,7,16,45,0.8571428571428571,0.0,0.14285714285714285
1min,246,540,540,0.9390243902439024,0.0,0.06097560975609756
30min,246,18,18,0.8130081300813008,0.0040650406504065045,0.18292682926829268
5min,246,108,108,0.9390243902439024,0.0,0.06097560975609756
60min,246,9,9,0.43902439024390244,0.0,0.5609756097560976
