lag,valid_pairs,acf,pacf,q,acf_band,pacf_band,scale
1,132594,0.2764138229724614,0.27643798634868244,10168.570763079932,0.005372657312434212,0.005382625136761547,1min
2,132348,0.14769878345398335,0.07705092728016313,13077.28278582507,0.005367671086476096,0.005387625254083814,1min
3,132102,0.06535200893615713,0.006879022114260293,13647.805269914625,0.005362680224321618,0.005392639331720062,1min
4,131856,0.05492685397538565,0.027562311527830983,14051.57506295829,0.005357684713014459,0.005397667434753374,1min
5,131610,0.054210480324710084,0.0304219906131665,14445.616499689664,0.005352684539537848,0.005402709628692408,1min
6,131364,0.041655364802793846,0.013925945310820507,14678.70980093273,0.005347679690814156,0.005407765979474989,1min
7,131118,0.04850025917252699,0.027445513473350367,14995.29461223793,0.0053426701537044995,0.005412836553471727,1min
8,130872,0.04300966727645278,0.01819231935596961,15244.725193472093,0.005337655915008343,0.0054179214174896705,1min
9,130626,0.04425020013438998,0.020827495139942778,15509.249218740242,0.005332636961463083,0.005423020638776016,1min
10,130380,0.048200661125518705,0.02525338625947619,15823.704784447878,0.00532761327974365,0.005428134285021833,1min
11,130134,0.04342315926211154,0.016871733789211633,16079.396306390547,0.005322584856462091,0.005433262424365839,1min
12,129888,0.05283120247234571,0.0289063495266634,16458.60320893796,0.005317551678167148,0.005438405125398219,1min
13,129642,0.041981324841879115,0.012425439628331668,16698.503530366783,0.005312513731343847,0.005443562457164474,1min
14,129396,0.034773657697377225,0.008731583888495115,16863.412459154482,0.005307471002413071,0.005448734489169312,1min
15,129150,0.031038051560435164,0.009761805242036438,16995.043635478043,0.0053024234777311295,0.00545392129138059,1min
16,128904,0.03291809526342044,0.013499329000782694,17143.386709293613,0.005297371143589334,0.005459122934233282,1min
17,128658,0.03453583649114937,0.013701383861902545,17306.9807334276,0.005292313986213558,0.005464339488633502,1min
18,128412,0.029344911450921513,0.00725524212581391,17425.318745393946,0.0052872519917638045,0.005469571025962556,1min
19,128166,0.03269000073281163,0.013495475970794002,17572.455544063512,0.005282185146333759,0.005474817618081055,1min
20,127920,0.04315962943834851,0.023623982765378,17829.42484092069,0.005277113435950346,0.005480079337333053,1min
21,127674,0.03579868580590875,0.009111965220444686,18006.556412079346,0.005272036846573281,0.005485356256550235,1min
22,127428,0.03467859405346815,0.011069572378772008,18173.097872754228,0.005266955364094614,0.005490648449056161,1min
23,127182,0.03256374997133226,0.010707225647041225,18320.22997668177,0.005261868974338273,0.005495955988670536,1min
24,126936,0.029671686777291213,0.007649960022527389,18442.625049573675,0.005256777663059603,0.005501278949713538,1min
25,126690,0.04229792636012046,0.02350502890311663,18691.83196506007,0.005251681415944904,0.0055066174070101895,1min
26,126444,0.030051595530402424,0.004488101381561563,18817.869852796597,0.005246580218610951,0.0055119714358947735,1min
27,126198,0.034386540964302395,0.01303622267817668,18983.21398324776,0.005241474056604536,0.0055173411122153015,1min
28,125952,0.029870510830232774,0.006740274237338216,19108.223910899917,0.005236362915401977,0.005522726512338022,1min
29,125706,0.03414700820841402,0.012626006521294603,19271.910682464302,0.005231246780408641,0.005528127713151989,1min
30,125460,0.029749837214744862,0.005487989100424204,19396.398879360742,0.005226125636958458,0.0055335447920736615,1min
31,125214,0.02932168625069391,0.007767554075040041,19517.567249942338,0.005220999470313431,0.005538977827051577,1min
32,124968,0.023780018691634562,0.001323015995304651,19597.419992438427,0.005215868265663139,0.005544426896571053,1min
33,124722,0.02474035865921047,0.006573348627779185,19684.023042675235,0.00521073200812424,0.005549892079658955,1min
34,124476,0.024072571509712207,0.005112528582849103,19766.176079024746,0.005205590682739967,0.005555373455888502,1min
35,124230,0.02740700805203263,0.008921131406544568,19872.875249234974,0.005200444274479617,0.005560871105384145,1min
36,123984,0.02093623062541637,-0.00011738078066328576,19935.26246672091,0.005195292768238043,0.005566385108826476,1min
37,123738,0.02122946146487926,0.0036891240600810584,19999.537030089792,0.005190136148835134,0.005571915547457201,1min
38,123492,0.01776705667239576,0.0009150417179546053,20044.64532628005,0.00518497440101529,0.005577462503084177,1min
39,123246,0.01975976026033014,0.004556359356336487,20100.55085790205,0.005179807509446905,0.005583026058086484,1min
40,123000,0.018480554113835177,0.002005330912276601,20149.550074726732,0.005174635458721824,0.00558860629541957,1min
41,122754,0.01823377370303383,0.002533869623335015,20197.344994916457,0.005169458233354816,0.005594203298620443,1min
42,122508,0.01726632321032558,0.0017600340991149146,20240.28870429456,0.005164275817783029,0.005599817151812924,1min
43,122262,0.018039588203369816,0.003709097581144922,20287.259294314805,0.005159088196365445,0.005605447939712958,1min
44,122016,0.017039951546236567,0.0020517493027342377,20329.25299996939,0.005153895353382327,0.005611095747633984,1min
45,121770,0.022474826134514462,0.008374326776426225,20402.45393824541,0.005148697273034667,0.005616760661492363,1min
46,121524,0.02422750695505708,0.0074792162414347016,20487.68927281777,0.0051434939394436234,0.005622442767812869,1min
47,121278,0.019052718827789455,-0.0001745847422705824,20540.50900110086,0.005138285336649958,0.005628142153734233,1min
48,121032,0.017905922585835995,0.002530412173703568,20587.256401785555,0.005133071448613457,0.005633858907014768,1min
