p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
2,3,2214.0,7.0,-15.711611434829138,45.423222869658275,85.34111566253836,-0.007274391787345504,0.24092098758287891,"[0.7264240118134214, 0.2733288006971849]","[-0.790864942996558, -0.16909249075190574, -0.035965080503670074]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,4.92921675958262e-07,1.0001941565907582,1.0032939851852558,numerical_or_root_restriction,22.790281391822283,False,60min
3,2,2214.0,7.0,-15.711985366180215,45.42397073236043,85.34186352524051,-0.007279927322503151,0.2410508949468743,"[0.7925969049120307, 0.2480709323003191, -0.04103053401874699]","[-0.8559286481658994, -0.13937166680114374]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,9.79745798895256e-06,1.0003111445027248,1.0041397836409844,numerical_or_root_restriction,22.79102925452444,False,60min
4,1,2214.0,7.0,-15.707743244818175,45.41548648963635,85.33337928251643,-0.007273777286251087,0.2409527391655809,"[0.9321673883083899, 0.11746748040379024, -0.05817021641760331, 0.008287525788523853]",[-0.9963302226427657],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.251141980780581e-05,1.000241603046389,1.0036832942269884,numerical_or_root_restriction,22.78254501180036,False,60min
5,0,2214.0,7.0,-16.742758885800413,47.485517771600826,87.40341056448091,-0.0074193248633108435,0.24357652905777125,"[-0.04307730134895977, 0.07656233425135815, 0.01788384807155925, 0.021417089740169242, 0.007342891880628459]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.0556473201145183e-08,2.033001619757932,inf,eligible,24.852576293764834,False,60min
1,5,2214.0,8.0,-16.8356716006615,49.671343201323,95.29179210747165,-0.007436775627515956,0.24359839300871333,[-0.07245420644666861],"[0.029685064887104824, 0.07541143558195523, 0.014664487135831787, 0.02461124420030383, -0.0004908057315626069]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.669739430933539e-07,13.801821164600986,2.449637741925116,eligible,32.74095783675558,False,60min
2,4,2214.0,8.0,-15.702179360421269,47.40435872084254,93.02480762699119,-0.007512294640357459,0.23917054504555893,"[-0.6057139943755551, -0.989280054487907]","[0.5748284102782848, 1.0779370174651994, 0.01494175452196412, 0.11772507713735414]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.3720448395765199e-05,1.0054034553349265,1.000942829478881,numerical_or_root_restriction,30.473973356275117,False,60min
3,3,2214.0,8.0,-15.076812869528567,46.153625739057134,91.77407464520579,-0.007290459499329172,0.23435546661516346,"[-0.815674696433414, 0.977457000701837, 0.8380045546524444]","[0.7986120914531766, -0.994648249863128, -0.7970858634196127]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,4.333859686371763e-06,1.0000583395668299,1.0019167070641815,numerical_or_root_restriction,29.223240374489713,False,60min
4,2,2214.0,8.0,-15.362617820939704,46.72523564187941,92.34568454802806,-0.007188449419121794,0.2309212594058389,"[1.8373441009894063, -0.7348416190634096, -0.17409314528138423, 0.07074936907893115]","[-1.9856779506624296, 0.990127361384049]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,4.9993516297532776e-05,1.006857971123663,1.0049731735127414,eligible,29.794850277311987,False,60min
5,1,2214.0,8.0,-15.690452107087367,47.380904214174734,93.00135312032339,-0.007254156649886706,0.24074822958733233,"[0.9303868325160406, 0.11766247732728802, -0.05868452095032161, 0.003932296758115735, 0.006462635002369831]",[-0.9962541151511655],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,6.571999888777164e-07,1.0002315482424546,1.0037599692607204,numerical_or_root_restriction,30.450518849607313,False,60min
2,5,2214.0,9.0,-15.539361281931178,49.07872256386236,100.4017275832796,-0.007258832527386851,0.23972749439355354,"[0.016778799486026896, 0.9831347088409594]","[-0.07802663543836923, -0.9353234727591981, 0.05455252372755042, -0.06119278146743411, 0.02309953497203951]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.5815473927830927e-06,1.000043614573824,1.0016229405813237,numerical_or_root_restriction,37.85089331256352,False,60min
3,4,2214.0,9.0,-15.145224730582868,48.290449461165736,99.61345448058297,-0.007299145944242371,0.2357579873338853,"[-0.8919969613647617, 0.8830365878294352, 0.9968770846941999]","[0.8772974853208623, -0.8837586476577908, -0.9629137583993359, 0.02507692317580643]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,0.0008469720636077417,1.0000079106687139,1.0002364260795744,numerical_or_root_restriction,37.0626202098669,False,60min
4,3,2214.0,9.0,-15.076807707042008,48.153615414084015,99.47662043350125,-0.007290367180583713,0.23435479232803696,"[-0.8159611740847934, 0.9773549038838986, 0.8382665920073998, 0.0001270196837176721]","[0.7988182318157035, -0.9946507492595974, -0.7972942651365398]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.053912608039134e-07,1.000058194688859,1.0019151562105535,numerical_or_root_restriction,36.92578616278518,False,60min
5,2,2214.0,9.0,-15.218039253733878,48.436078507467755,99.759083526885,-0.007191637170082215,0.22674997337154673,"[1.7998294853498793, -0.7027419042986992, -0.16345410232395347, 0.04202566451806452, 0.023579342392846522]","[-1.9848063321353, 0.9901494992118135]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.7663821791174555e-06,1.0040697243405765,1.0049619388217184,eligible,37.20824925616892,False,60min
3,5,2214.0,10.0,-14.767886669336349,49.5357733386727,106.56133447135852,-0.007425158367125379,0.23787472302768795,"[0.20402824789734675, -0.17663847492709067, 0.9721075892300002]","[-0.24989632893488783, 0.26854240609432595, -1.0260750357949568, 0.10327962875748481, -0.088129536329901]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,3.730002420008639e-05,1.0001816169044697,1.0000867243654104,numerical_or_root_restriction,44.01050020064245,False,60min
4,4,2214.0,10.0,-14.768487022946374,49.53697404589275,106.56253517857857,-0.007311431095793046,0.23782827946103274,"[1.2826547342914294, -0.8955456781153954, 0.17486577248728374, 0.43763543351784717]","[-1.355892998293059, 1.0714560814657892, -0.3257559018804258, -0.38368718127050505]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.828051599946565e-06,1.0002205397581696,1.0000156300173455,numerical_or_root_restriction,44.0117009078625,False,60min
5,3,2214.0,10.0,-14.95378073536267,49.90756147072534,106.93312260341116,-0.0073083054874352165,0.2371988097870296,"[-0.8634452048817448, 0.8219513651988101, 1.0490477531254114, 0.016816969531268548, -0.02437740919107258]","[0.8214339242011488, -0.8234399443808584, -0.9968166398296752]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,7.51955793872084e-05,1.0000016850600153,1.0003084405760707,numerical_or_root_restriction,44.38228833269509,False,60min
4,5,,,,,,,,,,False,,,,,,not_identifiable_from_segment_length,,False,60min
5,4,,,,,,,,,,False,,,,,,not_identifiable_from_segment_length,,False,60min
5,5,,,,,,,,,,False,,,,,,not_identifiable_from_segment_length,,False,60min
