p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
3,2,132840.0,7.0,268330.5566432472,-536647.1132864944,-536578.534981766,-0.00012236578277344707,0.032100040889188663,"[1.5263715507109212, -0.9410025741981112, -0.0031800810987308624]","[-1.5347858166797301, 0.9519519676758582]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,7.194245243293831e-06,1.0280668256700878,1.0249259333086653,eligible,11.290797755587846,False,1min
4,1,132840.0,7.0,268317.0932493649,-536620.1864987297,-536551.6081940014,-0.00012217067666943428,0.03210348710140372,"[-0.7006964200786415, -0.008361473883519082, 0.0014776426784214782, 0.008451697204523606]",[0.6925442136092976],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,3.5527136788216e-07,1.4091847566738644,1.443951130265533,eligible,38.21758552023675,False,1min
5,0,132840.0,7.0,268314.5803348954,-536615.1606697908,-536546.5823650624,-0.00012205148211954393,0.032104100494121185,"[-0.00817945318632143, -0.002686515555508974, 0.003331202816900176, 0.00419892656561585, -0.004065160948330252]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,4.440892098527e-08,2.8705655046761596,inf,eligible,43.24341445916798,False,1min
1,5,132840.0,8.0,268317.8829727386,-536619.7659454772,-536541.3907400733,-0.00012207152514309472,0.03210329367260483,[-0.5953992070438531],"[0.5873042428969222, -0.007508635207791978, 0.001696178868582016, 0.006250838894845483, -0.004092170414558556]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,6.2172489379378e-07,1.6795454010847326,2.1166351196013733,eligible,48.435039448319,False,1min
2,4,132840.0,8.0,268323.8799983538,-536631.7599967076,-536553.3847913037,-0.0001221056784170198,0.03210180714108065,"[-1.1622682507509121, -0.8526738236399404]","[1.1541970612879386, 0.8406444414922682, -0.005127405158193591, 0.004955189292399012]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.065814098284691e-06,1.0829503216948753,1.083891566053545,eligible,36.44098821794614,False,1min
3,3,132840.0,8.0,268330.55785416823,-536645.1157083365,-536566.7405029326,-0.00012236530754268938,0.03210004059509741,"[1.5297665102579157, -0.9461808251387239, 3.6096402705859416e-07]","[-1.5381878721678939, 0.9571623878366219, -0.00321167142182282]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.1760371282653047e-06,1.0280472191006615,1.024908449093674,eligible,23.0852765890304,False,1min
4,2,132840.0,8.0,268330.61048212304,-536645.2209642461,-536566.8457588422,-0.0001223496444941495,0.032100030151498316,"[1.5273564100330839, -0.9418061792180608, -0.0017841407181766467, -0.0009479807189842564]","[-1.5357763473638246, 0.9519577226374187]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.2204460627450096e-07,1.028051412071157,1.0249228352623327,eligible,22.980020679417066,False,1min
5,1,132840.0,8.0,268317.87925470213,-536619.7585094043,-536541.3833040004,-0.0001220713610821304,0.032103294627803126,"[-0.6003001962211966, -0.007529150885566442, 0.0017262756311883598, 0.006156361076374877, -0.004100066372012408]",[0.5921705304051676],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.6645352591162e-07,1.5779596975440882,1.6887027446566656,eligible,48.44247552123852,False,1min
2,5,132840.0,9.0,268324.1958215777,-536630.3916431554,-536542.219537076,-0.00012204958926322769,0.03210172942858057,"[-1.132475754050796, -0.8377522731432288]","[1.1244156463106194, 0.8260003078028856, -0.006434956984180387, 0.0023074123130581723, -0.002589222098120381]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.3322676228558637e-06,1.0925521916116212,1.0947406149787193,eligible,47.606242445646785,False,1min
3,4,132840.0,9.0,268330.5822892368,-536643.1645784735,-536554.9924723941,-0.00012236495237693388,0.03210003671406771,"[0.5411277707169361, 0.5660860175461268, -0.9345208423419696]","[-0.549546789624036, -0.5635195107552619, 0.9423356296064612, -0.0032458787393090803]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.6645352605028696e-06,1.0117982228826148,1.0116979696278647,eligible,34.83330712746829,False,1min
4,3,132840.0,9.0,268330.61069062614,-536643.2213812523,-536555.0492751729,-0.00012234724474870622,0.03210002695430984,"[1.5203870537108353, -0.9313693796041921, -0.008729443742317605, -0.000979885939622472]","[-1.5288066250807555, 0.9414499004187374, 0.007007783115604705]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,8.437695038431037e-07,1.0275957784860934,1.0244972019574945,eligible,34.77650434873067,False,1min
5,2,132840.0,9.0,268330.8022936002,-536643.6045872004,-536555.432481121,-0.0001223922496467894,0.03209997526765647,"[1.5267611039155435, -0.9444691291792184, -0.0003293105960377866, -0.0035954274001851402, 0.0018485261650598426]","[-1.53518138175259, 0.9546210709815823]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,3.108624487843013e-07,1.026469507329599,1.0234920931425933,eligible,34.39329840056598,False,1min
3,5,132840.0,10.0,268325.35283528315,-536630.7056705663,-536532.7366638114,-0.00012205239881506835,0.03210144965455796,"[-1.7835316607222784, -1.5966427147546924, -0.5841905365616084]","[1.7754735044665801, 1.5796588921008874, 0.5692137037309836, -0.002407948222697592, -0.0010023031213035774]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.3092638796168306e-06,1.0911563636591646,1.0952733175082323,eligible,57.089115710230544,False,1min
4,4,132840.0,10.0,268330.58228930173,-536641.1645786035,-536543.1955718485,-0.00012236495205620058,0.03210003671253491,"[0.5411276417331999, 0.5660859543741419, -0.934520816766704, -4.614167257283813e-08]","[-0.5495469412078429, -0.5635195907093478, 0.9423356569712766, -0.0032459268027917477]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.06581410364648e-06,1.0117982254772835,1.011697967578701,eligible,46.63020767306443,False,1min
5,3,132840.0,10.0,268330.7997751403,-536641.5995502806,-536543.6305435257,-0.00012239232968948725,0.032099978203691426,"[1.5043222719793816, -0.9100516671674239, -0.021244085008914348, -0.0035916077771828724, 0.0017970740501388653]","[-1.512743000179533, 0.9200149006907928, 0.021136702814615296]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.2204460627450096e-07,1.0268174110894739,1.0238138405448172,eligible,46.19523599592503,False,1min
4,5,132840.0,11.0,268340.5130654454,-536659.0261308908,-536551.2602234604,-0.0001223507374135537,0.032097593951899685,"[0.3714228437649016, -0.06240778675553859, 0.27168242341888166, -0.8502511764993448]","[-0.37972604527757925, 0.058611415635643996, -0.2636565563748943, 0.8546551250348638, -0.005476806934722016]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,2.7089441664735896e-06,1.0266373827562039,1.0236837642916683,eligible,38.56555606122129,False,1min
5,4,132840.0,11.0,268340.5364442156,-536659.0728884313,-536551.3069810008,-0.00012234991252774386,0.03209758810393996,"[0.3643123587471352, -0.05842220565692634, 0.26965435210975564, -0.8480419752421955, -0.005568530989895335]","[-0.3726706853103775, 0.05459523771412912, -0.26166455161971636, 0.8525485271638724]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,1.5543122352933405e-06,1.0265576862701868,1.0236116841495295,eligible,38.51879852078855,False,1min
5,5,132840.0,12.0,268344.05516323424,-536664.1103264685,-536546.5475183626,-0.00012236683138763213,0.03209672255866785,"[-0.34025101218594817, 0.21600344175550523, 0.18353274033367692, -0.6258686088752505, -0.6153168072851416]","[0.3310144404241942, -0.2230409754203099, -0.17880222598655546, 0.6362951296016733, 0.609922320724271]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0,5.950795410993881e-06,1.0259561576379173,1.023037285226376,eligible,43.2782611589646,False,1min
0,0,26568.0,2.0,32438.815976148973,-64873.63195229795,-64857.25702677183,-0.0006106410656563006,0.07136756866885505,[],[],True,closed_form,1.0,0.0,inf,inf,eligible,0.0,True,5min
0,1,26568.0,3.0,32438.89620428004,-64871.79240856008,-64847.230020270916,-0.0006110515495432063,0.07136735108149556,[],[0.0025072605088143135],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.2204460492635e-08,inf,398.8416825792471,eligible,10.027006500917196,False,5min
1,0,26568.0,3.0,32438.894362812673,-64871.788725625345,-64847.22633733618,-0.0006110423305744358,0.07136735612235794,[0.0024496924063036937],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,0.0,408.2145160048424,inf,eligible,10.030689435654494,False,5min
0,2,26568.0,4.0,32440.682986287597,-64873.36597257519,-64840.616121522966,-0.0006106415400268964,0.07136245766244227,[],"[0.002699340544512363, -0.011895821665680706]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.2204460492635e-08,inf,9.055839212947824,eligible,16.640905248867057,False,5min
1,1,26568.0,4.0,32442.492921279576,-64876.98584255915,-64844.235991506925,-0.0006117197195683743,0.07135733902404902,[-0.845607205435085],[0.8546717545199463],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,6.661338188235029e-08,1.1825821653038968,1.1700398365939706,eligible,13.021035264908278,False,5min
2,0,26568.0,4.0,32440.6265254999,-64873.2530509998,-64840.503199947576,-0.0006106192749399538,0.07136261478823608,"[0.002465833405466448, -0.011575554149303547]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.2204460492635e-08,9.294565762332622,inf,eligible,16.753826824256976,False,5min
0,3,26568.0,5.0,32441.943089539745,-64873.88617907949,-64832.94886526421,-0.0006104971781024499,0.07135897601705354,[],"[0.0028098904644981424, -0.011824488172167925, 0.009907041642698577]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,8.881784197054e-08,inf,4.271702124132018,eligible,24.30816150762257,False,5min
1,2,26568.0,5.0,32443.538436103336,-64877.07687220667,-64836.13955839139,-0.0006104271535386212,0.07135447307909407,[-0.7516381365400847],"[0.754394680233158, -0.010453726966441524]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,1.1102230313725048e-07,1.3304274376007132,1.3020728317985544,eligible,21.117468380442006,False,5min
2,1,26568.0,5.0,32443.541909137617,-64877.083818275234,-64836.14650445995,-0.0006104234679733935,0.07135446324863444,"[-0.7631521482567014, -0.010388648714431988]",[0.7658897620246092],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,6.6613381477905e-08,1.334601303980648,1.3056709327939398,eligible,21.110522311879322,False,5min
3,0,26568.0,5.0,32441.89678255865,-64873.7935651173,-64832.85625130202,-0.0006104749889892106,0.0713591050577638,"[0.00257902910053927, -0.011592549576212093, 0.009942229253833255]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3.0,2.2204460492635e-08,4.461363237256569,inf,eligible,24.40077546981047,False,5min
