scale,p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,segments,min_segment,max_segment,eligible_models,next_delta_bic,aic_p,aic_q
1min,0,0,132840,2,268306.7097904363,-536609.4195808726,-536589.8257795216,-0.00012212821313124076,0.032106010655863444,[],[],True,closed_form,1,0.0,inf,inf,246,540,540,36,2.933318862458691,5,5
5min,0,0,26568,2,32438.815976148973,-64873.63195229795,-64857.25702677183,-0.0006106410656563006,0.07136756866885505,[],[],True,closed_form,1,0.0,inf,inf,246,108,108,35,10.027006500917196,4,3
15min,0,0,8856,2,6090.5731794956755,-12177.146358991351,-12162.968658042573,-0.0018319231969689928,0.12164204163618367,[],[],True,closed_form,1,0.0,inf,inf,246,36,36,32,8.659790923529727,4,3
30min,0,0,4428,2,1534.1381138534243,-3064.2762277068487,-3051.4848211191916,-0.003663846393937983,0.17111806504214078,[],[],True,closed_form,1,0.0,inf,inf,246,18,18,26,7.998536645998229,5,0
60min,0,0,2214,2,-23.572861022089455,51.14572204417891,62.550834270716074,-0.007327692787875974,0.2445607948771369,[],[],True,closed_form,1,0.0,inf,inf,246,9,9,19,2.697790532847499,2,0
1d,0,0,246,2,-288.99271677722925,581.9854335544585,588.9960966263233,-0.06548315488465802,0.7833533623873298,[],[],True,closed_form,1,0.0,inf,inf,10,2,45,22,5.337563418110221,0,0
