scale,p,q,diagnostic_lag,horizon_minutes,q_boundary,working_df,p_ljungbox_working,squared_q,squared_p_working,residual_mean,residual_std,skewness,excess_kurtosis,jarque_bera,jarque_bera_p,max_abs_acf
1min,0,0,60,60.0,146.17477714557944,60,3.775391106827556e-09,21648.644227465753,0.0,-7.060496922638755e-18,1.000003763947779,0.22885226290154395,20.184338618058714,2256160.1995085324,0.0,0.010147455046359501
5min,0,0,12,60.0,25.581113437304204,12,0.01229690874103386,1025.1675180367217,7.270991490655845e-212,8.02329195754404e-19,1.0000188201639253,0.6784037244476515,21.75419800064908,525920.2652150382,0.0,0.01557112112892379
15min,0,0,4,60.0,8.052794597633913,4,0.08966329292664668,323.69588716439716,8.35821375295557e-69,1.1633773338438859e-17,1.0000564636797828,0.4881073165439256,8.432951797431706,26592.970609207085,0.0,0.023349931394726856
30min,0,0,4,120.0,4.963034372621898,4,0.2911114735760686,112.27816263596293,2.3770593103073453e-23,-6.418633566035232e-18,1.0001129369250876,0.18417950836494126,5.065634646056365,4759.4252341523015,0.0,0.021713307384203476
60min,0,0,4,240.0,12.55131942876142,4,0.013689512872418192,32.177452297050564,1.7598056308963702e-06,-4.813975174526424e-18,1.0002259121230672,0.01582578757858959,5.899065745365718,3210.298015735444,0.0,0.0517884003674454
1d,0,0,10,,4.617057956790557,10,0.9152490839468299,6.524797896078182,0.7694153996836963,6.769652589177784e-18,1.0020387381000102,-0.5270058836691145,1.194597429069015,26.01453918806401,2.2439573111600137e-06,0.08375520444814968
