p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
0,0,8856,2,6090.5731794956755,-12177.146358991351,-12162.968658042573,-0.0018319231969689928,0.12164204163618367,[],[],True,closed_form,1,0.0,inf,inf,eligible,0.0,True,15min
0,1,8856,3,6090.784119497186,-12175.568238994372,-12154.301687571207,-0.001831583548546262,0.12163906225048755,[],[0.00696859384760663],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,inf,143.50097334822445,eligible,8.666970471365858,False,15min
1,0,8856,3,6090.787709271104,-12175.575418542208,-12154.308867119043,-0.001831574743110331,0.1216390101190248,[0.007087557506257293],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0.0,141.09232963783984,inf,eligible,8.659790923529727,False,15min
0,2,8856,4,6091.134662037088,-12174.269324074176,-12145.913922176622,-0.0018309562595655235,0.12163393685118105,[],"[0.007228824273394897, 0.00951850132707657]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.11022302463175e-08,inf,10.249807583828868,eligible,17.054735865951443,False,15min
1,1,8856,4,6090.839736631928,-12173.679473263855,-12145.324071366302,-0.0018315307440197244,0.12163827154424257,[0.18491314136858625],[-0.17714978632230635],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.220446050419058e-07,5.407944468406959,5.644940480936285,eligible,17.6445866762715,False,15min
2,0,8856,4,6091.1028170922145,-12174.205634184429,-12145.850232286875,-0.001831060788236183,0.1216344219545591,"[0.00698622323667107, 0.008790755155792562]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.11022302463175e-08,10.275677280758178,inf,eligible,17.1184257556979,False,15min
0,3,8856,5,6091.909365764443,-12173.818731528885,-12138.374479156942,-0.001828027211153825,0.1216223093305353,[],"[0.006480431306474619, 0.009502875009567483, -0.014024474004001345]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,3.33066907389525e-08,inf,4.014452455955901,eligible,24.594178885630754,False,15min
1,2,8856,5,6091.2571736223,-12172.5143472446,-12137.070094872657,-0.0018304712358466215,0.12163213824056857,[-0.21076895964299883],"[0.21790468385289413, 0.012317424974514277]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,3.1086244689689e-07,4.744531650646297,9.010316307418861,eligible,25.898563169916088,False,15min
2,1,8856,5,6091.224849903292,-12172.449699806584,-12137.005447434642,-0.001830566934126,0.12163263496331093,"[-0.21096427253254343, 0.011651542119943924]",[0.21796427311363262],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.221245327094925e-07,3.9000642096014637,4.587907851662754,eligible,25.963210607931615,False,15min
3,0,8856,5,6091.914278533128,-12173.828557066256,-12138.384304694313,-0.0018279356268286885,0.1216222501355519,"[0.007149814147907779, 0.008931868561507844, -0.014212768446941257]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,2.2204460492635e-08,3.9676971903359854,inf,eligible,24.584353348260265,False,15min
