scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
15min,2024-01-02,2024-01-02,2024-01-02,36,main,ADF,c,unit_root,6.0,bic,False,ok,-5.975559002661666,1.8912239816490567e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.9873119769181145,1.7794864325276366e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,3,35,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09410130697432208,0.6149934651283896,0.7428,0.4614,0.3475,3,36,False,
15min,2024-01-02,2024-01-02,2024-01-02,36,trend_sensitivity,ADF,ct,unit_root,6.0,bic,False,ok,-5.880092025822307,3.909980466692079e-06,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,0,35,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-5.896920004068314,3.607741339913522e-06,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,3,35,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09588821857430274,0.17944733373145372,0.2175,0.1479,0.1193,3,36,False,
15min,2024-01-02,2024-01-02,2024-01-02,36,lag_sensitivity,ADF,c,unit_root,6.0,aic,False,ok,-5.975559002661666,1.8912239816490567e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.984360766027285,1.8069200580252097e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,6,35,True,
15min,2024-01-02,2024-01-02,2024-01-02,36,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09678037498230906,0.6015981250884547,0.7428,0.4614,0.3475,6,36,False,
15min,2024-01-03,2024-01-03,2024-01-03,36,main,ADF,c,unit_root,6.0,bic,False,ok,-5.22942964561033,7.65382645613408e-06,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-03,2024-01-03,2024-01-03,36,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.184633918328052,9.449889348304922e-06,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,3,35,True,
15min,2024-01-03,2024-01-03,2024-01-03,36,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.3076076972511468,0.12919857970615334,0.7428,0.4614,0.3475,3,36,False,
15min,2024-01-03,2024-01-03,2024-01-03,36,trend_sensitivity,ADF,ct,unit_root,6.0,bic,False,ok,-5.586023367286131,1.5542758287077133e-05,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,0,35,True,
15min,2024-01-03,2024-01-03,2024-01-03,36,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-5.611440286384483,1.3822966208073816e-05,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,3,35,True,
15min,2024-01-03,2024-01-03,2024-01-03,36,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0616796601218331,0.4291759297741403,0.2175,0.1479,0.1193,3,36,False,
15min,2024-01-03,2024-01-03,2024-01-03,36,lag_sensitivity,ADF,c,unit_root,6.0,aic,False,ok,-5.22942964561033,7.65382645613408e-06,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-03,2024-01-03,2024-01-03,36,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.1973593161091385,8.90188257347529e-06,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,6,35,True,
15min,2024-01-03,2024-01-03,2024-01-03,36,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.40372532926743043,0.07069675696131396,0.7428,0.4614,0.3475,6,36,False,
15min,2024-01-04,2024-01-04,2024-01-04,36,main,ADF,c,unit_root,6.0,bic,False,ok,-6.711953951774145,3.661654790054071e-09,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-04,2024-01-04,2024-01-04,36,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.676010204804553,4.4634777375470805e-09,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,3,35,True,
15min,2024-01-04,2024-01-04,2024-01-04,36,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.21863185699418977,0.2345079280315553,0.7428,0.4614,0.3475,3,36,False,
15min,2024-01-04,2024-01-04,2024-01-04,36,trend_sensitivity,ADF,ct,unit_root,6.0,bic,False,ok,-6.925486193971961,2.0817773289402917e-08,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,0,35,True,
15min,2024-01-04,2024-01-04,2024-01-04,36,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-6.938287336823669,1.947895104198997e-08,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,3,35,True,
15min,2024-01-04,2024-01-04,2024-01-04,36,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.05256017857444316,0.5396339285303207,0.2175,0.1479,0.1193,3,36,False,
15min,2024-01-04,2024-01-04,2024-01-04,36,lag_sensitivity,ADF,c,unit_root,6.0,aic,False,ok,-6.711953951774145,3.661654790054071e-09,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-04,2024-01-04,2024-01-04,36,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.683718423071104,4.2780873469939736e-09,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,6,35,True,
15min,2024-01-04,2024-01-04,2024-01-04,36,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.22438152694230512,0.22503045009510142,0.7428,0.4614,0.3475,6,36,False,
15min,2024-01-05,2024-01-05,2024-01-05,36,main,ADF,c,unit_root,6.0,bic,False,ok,-5.7445681149489065,6.163987535996381e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-05,2024-01-05,2024-01-05,36,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.7909791497674235,4.873185349774816e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,3,35,True,
15min,2024-01-05,2024-01-05,2024-01-05,36,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.14386321951653722,0.4095409630880218,0.7428,0.4614,0.3475,3,36,False,
15min,2024-01-05,2024-01-05,2024-01-05,36,trend_sensitivity,ADF,ct,unit_root,6.0,bic,False,ok,-5.753353060059437,7.13095599746021e-06,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,0,35,True,
15min,2024-01-05,2024-01-05,2024-01-05,36,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-5.78449261487663,6.157277630612168e-06,-4.243765510204081,-3.5443646122448977,-3.2046503498542274,3,35,True,
15min,2024-01-05,2024-01-05,2024-01-05,36,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.08648991868086481,0.2274604879148112,0.2175,0.1479,0.1193,3,36,False,
15min,2024-01-05,2024-01-05,2024-01-05,36,lag_sensitivity,ADF,c,unit_root,6.0,aic,False,ok,-5.7445681149489065,6.163987535996381e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-05,2024-01-05,2024-01-05,36,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-5.7962223511144435,4.745153746702897e-07,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,6,35,True,
15min,2024-01-05,2024-01-05,2024-01-05,36,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1426125116031074,0.4135496422977327,0.7428,0.4614,0.3475,6,36,False,
15min,2024-01-08,2024-01-08,2024-01-08,36,main,ADF,c,unit_root,6.0,bic,False,ok,-7.574689238388076,2.781662080409025e-11,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,0,35,True,
15min,2024-01-08,2024-01-08,2024-01-08,36,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-7.985171586906701,2.560445507892865e-12,-3.6327426647230316,-2.9485102040816327,-2.6130173469387756,3,35,True,
