scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1d,4,2024-03-11,2024-04-15,25,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0940882354269917,0.1876110437398383,0.2175,0.1479,0.1193,2.0,25.0,False,
1d,4,2024-03-11,2024-04-15,25,lag_sensitivity,ADF,c,unit_root,4.0,aic,False,ok,-4.434506797142166,0.00025776273384762473,-3.7377092158564813,-2.9922162731481485,-2.635746736111111,0.0,24.0,True,
1d,4,2024-03-11,2024-04-15,25,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-4.400846230574798,0.0002958107024681821,-3.7377092158564813,-2.9922162731481485,-2.635746736111111,4.0,24.0,True,
1d,4,2024-03-11,2024-04-15,25,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.3318937832128157,0.11080015002573307,0.7428,0.4614,0.3475,4.0,25.0,False,
1d,5,2024-04-17,2024-06-06,35,main,ADF,c,unit_root,6.0,bic,False,ok,-4.560944423258298,0.0001523605052665594,-3.639224104416853,-2.9512301791166293,-2.614446989619377,0.0,34.0,True,
1d,5,2024-04-17,2024-06-06,35,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-4.538809139957173,0.00016721359292007397,-3.639224104416853,-2.9512301791166293,-2.614446989619377,3.0,34.0,True,
1d,5,2024-04-17,2024-06-06,35,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.17860658751499447,0.31354807467817364,0.7428,0.4614,0.3475,3.0,35.0,False,
1d,5,2024-04-17,2024-06-06,35,trend_sensitivity,ADF,ct,unit_root,6.0,bic,False,ok,-4.656969950561857,0.0008264507311799306,-4.253042608385915,-3.5485904579686545,-3.2070617952371263,0.0,34.0,True,
1d,5,2024-04-17,2024-06-06,35,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-4.573698416254277,0.0011407960453304461,-4.253042608385915,-3.5485904579686545,-3.2070617952371263,3.0,34.0,True,
1d,5,2024-04-17,2024-06-06,35,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.108003961805064,0.13256786514495483,0.2175,0.1479,0.1193,3.0,35.0,False,
1d,5,2024-04-17,2024-06-06,35,lag_sensitivity,ADF,c,unit_root,6.0,aic,False,ok,-4.560944423258298,0.0001523605052665594,-3.639224104416853,-2.9512301791166293,-2.614446989619377,0.0,34.0,True,
1d,5,2024-04-17,2024-06-06,35,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-4.646804396761747,0.0001058038465647612,-3.639224104416853,-2.9512301791166293,-2.614446989619377,6.0,34.0,True,
1d,5,2024-04-17,2024-06-06,35,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.14991431358017596,0.3904931143447144,0.7428,0.4614,0.3475,6.0,35.0,False,
1d,6,2024-06-10,2024-06-11,2,main,ADF,c,unit_root,0.0,bic,True,too_short,,,,,,,,,n < 8; test not computed
1d,6,2024-06-10,2024-06-11,2,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,6,2024-06-10,2024-06-11,2,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,6,2024-06-10,2024-06-11,2,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,too_short,,,,,,,,,n < 8; test not computed
1d,6,2024-06-10,2024-06-11,2,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,6,2024-06-10,2024-06-11,2,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,too_short,,,,,,,,,n < 8; test not computed
1d,7,2024-06-12,2024-08-13,45,main,ADF,c,unit_root,8.0,bic,False,ok,-6.886386608286124,1.391124989006039e-09,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,0.0,44.0,True,
1d,7,2024-06-12,2024-08-13,45,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-6.879379122769836,1.4465820804112442e-09,-3.5885733964124715,-2.929885661157025,-2.6031845661157025,3.0,44.0,True,
