scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
1min,2024-01-04,2024-01-04,2024-01-04,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.038870861940717344,0.7394620070876953,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-04,2024-01-04,2024-01-04,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-20.044331375537716,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-19.90613815037896,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-04,2024-01-04,2024-01-04,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1860173124519791,0.29677167563408696,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-05,2024-01-05,2024-01-05,540,main,ADF,c,unit_root,12.0,bic,False,ok,-23.95587438729087,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.954063050970102,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.17565870264563416,0.3203568115009239,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-05,2024-01-05,2024-01-05,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-23.959116342137214,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-23.958499063922567,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.0951163074883879,0.18277453668798324,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-05,2024-01-05,2024-01-05,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-23.95587438729087,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.94729021402416,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-05,2024-01-05,2024-01-05,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1610185369264064,0.35841061283954284,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-08,2024-01-08,2024-01-08,540,main,ADF,c,unit_root,12.0,bic,False,ok,-22.90572399311057,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-08,2024-01-08,2024-01-08,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.09704146088755,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-08,2024-01-08,2024-01-08,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.05156643812281707,0.8669604676669127,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-08,2024-01-08,2024-01-08,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-22.88830553462993,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-08,2024-01-08,2024-01-08,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-23.078907523243128,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-08,2024-01-08,2024-01-08,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.04250399866785618,0.6834400199821573,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-08,2024-01-08,2024-01-08,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-15.45989877311383,2.7144406793897827e-28,-3.4425861905056556,-2.8669372502674824,-2.5696445454608505,2.0,537.0,True,
1min,2024-01-08,2024-01-08,2024-01-08,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.26516115637924,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-08,2024-01-08,2024-01-08,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.05711980684117137,0.8325193357025614,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-09,2024-01-09,2024-01-09,540,main,ADF,c,unit_root,12.0,bic,False,ok,-23.278774861408575,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-09,2024-01-09,2024-01-09,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.394662214213046,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-09,2024-01-09,2024-01-09,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.10908929633907438,0.54277592573148,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-09,2024-01-09,2024-01-09,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-23.27417006800827,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-09,2024-01-09,2024-01-09,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-23.39275554317974,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-09,2024-01-09,2024-01-09,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.040995798265214545,0.7066697798578002,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-09,2024-01-09,2024-01-09,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-10.384991456890496,2.0912729102848186e-18,-3.442701754304053,-2.866988120523906,-2.5696716542766693,7.0,532.0,True,
1min,2024-01-09,2024-01-09,2024-01-09,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-23.867905909787304,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
1min,2024-01-09,2024-01-09,2024-01-09,540,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.1387327214506962,0.4263947895524102,0.7428,0.4614,0.3475,12.0,540.0,False,
1min,2024-01-10,2024-01-10,2024-01-10,540,main,ADF,c,unit_root,12.0,bic,False,ok,-24.63377091974168,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-10,2024-01-10,2024-01-10,540,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-24.725477587398835,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,6.0,539.0,True,
1min,2024-01-10,2024-01-10,2024-01-10,540,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.2938394917016639,0.14081953171270106,0.7428,0.4614,0.3475,6.0,540.0,False,
1min,2024-01-10,2024-01-10,2024-01-10,540,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-24.683156054199966,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,0.0,539.0,True,
1min,2024-01-10,2024-01-10,2024-01-10,540,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-24.80076972295012,0.0,-3.9756648124097875,-3.4186668470500177,-3.131860684671111,6.0,539.0,True,
1min,2024-01-10,2024-01-10,2024-01-10,540,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.046621959166570914,0.6219028953501733,0.2175,0.1479,0.1193,6.0,540.0,False,
1min,2024-01-10,2024-01-10,2024-01-10,540,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-24.63377091974168,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,0.0,539.0,True,
1min,2024-01-10,2024-01-10,2024-01-10,540,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-24.757539485790545,0.0,-3.4425405682241816,-2.8669171671779816,-2.5696338432333636,12.0,539.0,True,
