scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
5min,2024-01-02,2024-01-02,2024-01-02,108,main,ADF,c,unit_root,12.0,bic,False,ok,-8.750052063490207,2.852736491722494e-14,-3.492995948509562,-2.888954648057252,-2.58139291903223,0,107,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-8.679164406053621,4.3330725992413814e-14,-3.492995948509562,-2.888954648057252,-2.58139291903223,4,107,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.08578762301282766,0.6597038744754855,0.7428,0.4614,0.3475,4,108,False,
5min,2024-01-02,2024-01-02,2024-01-02,108,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-8.707370797069307,1.6792871326432064e-12,-4.045970933273362,-3.452348053635668,-3.1515755794286404,0,107,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-8.633115975900967,2.48320235999174e-12,-4.045970933273362,-3.452348053635668,-3.1515755794286404,4,107,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.087438232425635,0.2221166120055268,0.2175,0.1479,0.1193,4,108,False,
5min,2024-01-02,2024-01-02,2024-01-02,108,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-7.5393808141539855,3.41009354806156e-11,-3.4936021509366793,-2.8892174239808703,-2.58153320754717,1,106,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-8.657014222279972,4.9375927888838986e-14,-3.492995948509562,-2.888954648057252,-2.58139291903223,8,107,True,
5min,2024-01-02,2024-01-02,2024-01-02,108,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.09256133256879638,0.6231844012298065,0.7428,0.4614,0.3475,8,108,False,
5min,2024-01-03,2024-01-03,2024-01-03,108,main,ADF,c,unit_root,12.0,bic,False,ok,-10.260317999287873,4.253569731830908e-18,-3.492995948509562,-2.888954648057252,-2.58139291903223,0,107,True,
5min,2024-01-03,2024-01-03,2024-01-03,108,main,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-10.271855920639869,3.9824246403573556e-18,-3.492995948509562,-2.888954648057252,-2.58139291903223,4,107,True,
5min,2024-01-03,2024-01-03,2024-01-03,108,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.20943473848271896,0.250473681280859,0.7428,0.4614,0.3475,4,108,False,
5min,2024-01-03,2024-01-03,2024-01-03,108,trend_sensitivity,ADF,ct,unit_root,12.0,bic,False,ok,-10.343370647116402,4.432959051561642e-16,-4.045970933273362,-3.452348053635668,-3.1515755794286404,0,107,True,
5min,2024-01-03,2024-01-03,2024-01-03,108,trend_sensitivity,PP,ct,unit_root,,Bartlett_short_bandwidth,False,ok,-10.375484592361301,3.809789379872028e-16,-4.045970933273362,-3.452348053635668,-3.1515755794286404,4,107,True,
5min,2024-01-03,2024-01-03,2024-01-03,108,trend_sensitivity,KPSS,ct,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.04360798557288283,0.6668802164067574,0.2175,0.1479,0.1193,4,108,False,
5min,2024-01-03,2024-01-03,2024-01-03,108,lag_sensitivity,ADF,c,unit_root,12.0,aic,False,ok,-10.260317999287873,4.253569731830908e-18,-3.492995948509562,-2.888954648057252,-2.58139291903223,0,107,True,
5min,2024-01-03,2024-01-03,2024-01-03,108,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,False,ok,-10.436059723930532,1.5653371752873357e-18,-3.492995948509562,-2.888954648057252,-2.58139291903223,8,107,True,
5min,2024-01-03,2024-01-03,2024-01-03,108,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,False,ok,0.27271959111212174,0.16195875925820652,0.7428,0.4614,0.3475,8,108,False,
5min,2024-01-04,2024-01-04,2024-01-04,108,main,ADF,c,unit_root,12.0,bic,False,ok,-10.143013116365488,8.324598834856723e-18,-3.492995948509562,-2.888954648057252,-2.58139291903223,0,107,True,
