scale,segment,start,end,n,specification,test,trend,null,adf_max_lags,lag_rule,small_sample,status,statistic,pvalue,critical_1,critical_5,critical_10,lags,nobs,reject_5pct,warning
60min,2024-01-02,2024-01-02,2024-01-02,9,main,ADF,c,unit_root,0.0,bic,True,ok,-2.493595780045245,0.11704032679721488,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.3876479004738833,0.14525309026586852,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.15497721789237884,0.3754249467488725,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,ok,-2.493595780045245,0.11704032679721488,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.3876479004738833,0.14525309026586852,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,False,
60min,2024-01-02,2024-01-02,2024-01-02,9,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.15497721789237884,0.3754249467488725,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-03,2024-01-03,2024-01-03,9,main,ADF,c,unit_root,0.0,bic,True,ok,-3.3920684633255984,0.011232247181442702,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,True,
60min,2024-01-03,2024-01-03,2024-01-03,9,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.385983397488779,0.011446078749741448,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,True,
60min,2024-01-03,2024-01-03,2024-01-03,9,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.33527153820553124,0.10846260331797146,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-03,2024-01-03,2024-01-03,9,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,ok,-3.3920684633255984,0.011232247181442702,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,True,
60min,2024-01-03,2024-01-03,2024-01-03,9,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-3.385983397488779,0.011446078749741448,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,True,
60min,2024-01-03,2024-01-03,2024-01-03,9,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.33527153820553124,0.10846260331797146,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-04,2024-01-04,2024-01-04,9,main,ADF,c,unit_root,0.0,bic,True,ok,-2.0905615087616267,0.24832676427627626,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,False,
60min,2024-01-04,2024-01-04,2024-01-04,9,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.005181012130098,0.2843060366833085,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,False,
60min,2024-01-04,2024-01-04,2024-01-04,9,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.34313912971834903,0.103017903309101,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-04,2024-01-04,2024-01-04,9,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,ok,-2.0905615087616267,0.24832676427627626,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,False,
60min,2024-01-04,2024-01-04,2024-01-04,9,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.005181012130098,0.2843060366833085,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,False,
60min,2024-01-04,2024-01-04,2024-01-04,9,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.34313912971834903,0.103017903309101,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-05,2024-01-05,2024-01-05,9,main,ADF,c,unit_root,0.0,bic,True,ok,-2.6040803154692376,0.09215687830378044,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,False,
60min,2024-01-05,2024-01-05,2024-01-05,9,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.6235112267377714,0.08823467968045973,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,False,
60min,2024-01-05,2024-01-05,2024-01-05,9,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.16233871059776672,0.35478376209404744,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-05,2024-01-05,2024-01-05,9,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,ok,-2.6040803154692376,0.09215687830378044,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,False,
60min,2024-01-05,2024-01-05,2024-01-05,9,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-2.6235112267377714,0.08823467968045973,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,False,
60min,2024-01-05,2024-01-05,2024-01-05,9,lag_sensitivity,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.16233871059776672,0.35478376209404744,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-08,2024-01-08,2024-01-08,9,main,ADF,c,unit_root,0.0,bic,True,ok,-3.887231123901793,0.002130854722043621,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,True,
60min,2024-01-08,2024-01-08,2024-01-08,9,main,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.187325347344655,0.0006922180934117193,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,True,
60min,2024-01-08,2024-01-08,2024-01-08,9,main,KPSS,c,level_or_trend_stationarity,,Bartlett_short_bandwidth,True,ok,0.16985454128056382,0.33501378464504084,0.7428,0.4614,0.3475,2,9,False,
60min,2024-01-08,2024-01-08,2024-01-08,9,lag_sensitivity,ADF,c,unit_root,0.0,aic,True,ok,-3.887231123901793,0.002130854722043621,-4.6651863281249994,-3.3671868750000002,-2.802960625,0,8,True,
60min,2024-01-08,2024-01-08,2024-01-08,9,lag_sensitivity,PP,c,unit_root,,Bartlett_short_bandwidth,True,ok,-4.187325347344655,0.0006922180934117193,-4.6651863281249994,-3.3671868750000002,-2.802960625,2,8,True,
