lag,valid_pairs,acf,pacf,q,acf_band,pacf_band,scale
1,132594,-0.008124361108688142,-0.008129513557293872,8.78453620662131,0.005372657312434212,0.005382625136761547,1min
2,132348,-0.0026446204516125974,-0.0027131387497250463,9.717089357743045,0.005367671086476096,0.005387625254083814,1min
3,132102,0.0033068953279876924,0.0032750586519887386,11.177906231547224,0.005362680224321618,0.005392639331720062,1min
4,131856,0.004128911636965046,0.00418651183284188,13.459485452059603,0.005357684713014459,0.005397667434753374,1min
5,131610,-0.004078067590136538,-0.0040118976994264295,15.689379469387124,0.005352684539537848,0.005402709628692408,1min
6,131364,0.00905579083504733,0.009044176683391282,26.705804265617758,0.005347679690814156,0.005407765979474989,1min
7,131118,-0.004092945079550768,-0.004022116316198592,28.96042652639172,0.0053426701537044995,0.005412836553471727,1min
8,130872,-0.0025981934394710216,-0.0026118251615625788,29.87067612620779,0.005337655915008343,0.0054179214174896705,1min
9,130626,-0.0027224972513844666,-0.0028327194213847206,30.87198841039968,0.005332636961463083,0.005423020638776016,1min
10,130380,-0.010147455046359501,-0.010349924146003291,44.808932821304516,0.00532761327974365,0.005428134285021833,1min
11,130134,-0.0012494470158803776,-0.0013244113773431083,45.020627129600705,0.005322584856462091,0.005433262424365839,1min
12,129888,0.006571391012759472,0.006499365545485025,50.88754301480835,0.005317551678167148,0.005438405125398219,1min
13,129642,0.0003090900736005347,0.0005453044732561861,50.900547365299516,0.005312513731343847,0.005443562457164474,1min
14,129396,0.0037758560013212684,0.003941939764339739,52.84489657507755,0.005307471002413071,0.005448734489169312,1min
15,129150,0.00796091227549634,0.008046089047478933,61.50445084802708,0.0053024234777311295,0.00545392129138059,1min
16,128904,-0.0050125716432580045,-0.00486439331719044,64.94413895004325,0.005297371143589334,0.005459122934233282,1min
17,128658,-0.002549730992012201,-0.0026684265510174277,65.83583368457728,0.005292313986213558,0.005464339488633502,1min
18,128412,-0.000572774999049295,-0.0008993484081647749,65.8809181338415,0.0052872519917638045,0.005469571025962556,1min
19,128166,-0.004121361054920496,-0.004243510798528381,68.21960872146772,0.005282185146333759,0.005474817618081055,1min
20,127920,-0.006040227881305937,-0.006230836158827131,73.25267290855098,0.005277113435950346,0.005480079337333053,1min
21,127674,-0.006709388172829046,-0.007056016565195901,79.47463907275784,0.005272036846573281,0.005485356256550235,1min
22,127428,-0.003549880452566803,-0.0034592123622256294,81.21976536286877,0.005266955364094614,0.005490648449056161,1min
23,127182,0.007501017055220959,0.007732414137829972,89.02667096473476,0.005261868974338273,0.005495955988670536,1min
24,126936,0.00549247030469288,0.005824850473362766,93.22054033290311,0.005256777663059603,0.005501278949713538,1min
25,126690,0.002830137681634621,0.0032460100698852947,94.33621369459924,0.005251681415944904,0.0055066174070101895,1min
26,126444,0.0004114434991004502,0.00035356549089628013,94.35983949093499,0.005246580218610951,0.0055119714358947735,1min
27,126198,-0.002617680788777242,-0.002923812773286355,95.31801523278621,0.005241474056604536,0.0055173411122153015,1min
28,125952,-0.002453810050144836,-0.002564478340576256,96.16162400310266,0.005236362915401977,0.005522726512338022,1min
29,125706,0.0015775751874494658,0.0012496723438863934,96.51099624687964,0.005231246780408641,0.005528127713151989,1min
30,125460,-0.002788437275994769,-0.0030758716210460063,97.60465226916544,0.005226125636958458,0.0055335447920736615,1min
31,125214,0.000555146902137033,0.000539796915467965,97.64808600887153,0.005220999470313431,0.005538977827051577,1min
32,124968,-0.006552091674133775,-0.00668782687795307,103.71021793716754,0.005215868265663139,0.005544426896571053,1min
33,124722,0.006876231256540467,0.007284636734208037,110.40015688251421,0.00521073200812424,0.005549892079658955,1min
34,124476,0.002139767426370123,0.002668750202959571,111.04925715647059,0.005205590682739967,0.005555373455888502,1min
35,124230,0.0022030699016228937,0.002469190668511574,111.73869376687708,0.005200444274479617,0.005560871105384145,1min
36,123984,-0.00018583364609808678,-6.012311351426913e-05,111.743609036263,0.005195292768238043,0.005566385108826476,1min
37,123738,0.0015266612133804196,0.0012342228593945766,112.07599794540305,0.005190136148835134,0.005571915547457201,1min
38,123492,-0.0005204574481873732,-0.0006842596712006413,112.11470551508118,0.00518497440101529,0.005577462503084177,1min
39,123246,0.0008742908383436832,0.0006195486210817032,112.22415237207372,0.005179807509446905,0.005583026058086484,1min
40,123000,0.002270643905079009,0.00227372502576867,112.9638551048512,0.005174635458721824,0.00558860629541957,1min
41,122754,0.0015342068159377976,0.0015439260088639878,113.3022286763607,0.005169458233354816,0.005594203298620443,1min
42,122508,-0.0007959185074408166,-0.0007519558353820392,113.39347954964938,0.005164275817783029,0.005599817151812924,1min
43,122262,0.0005404683520251827,0.0007684239861999188,113.43564078359813,0.005159088196365445,0.005605447939712958,1min
44,122016,0.0008427451219194107,0.0012160143667320326,113.53835722940849,0.005153895353382327,0.005611095747633984,1min
45,121770,0.005811820950497663,0.0062806609767828234,118.43330901811694,0.005148697273034667,0.005616760661492363,1min
46,121524,-0.00030284706585484775,-0.00016986875180163545,118.44662732313849,0.0051434939394436234,0.005622442767812869,1min
47,121278,-0.00011873926190259095,-0.0001763046199411989,118.44867882037356,0.005138285336649958,0.005628142153734233,1min
48,121032,-0.0019191118011583838,-0.002353540620824603,118.98566686234534,0.005133071448613457,0.005633858907014768,1min
49,120786,-0.006037234990834822,-0.0065112218031773954,124.31071863013284,0.005127852259212362,0.005639593116038035,1min
50,120540,-0.0023846064642838016,-0.002566451157507282,125.14318465747104,0.005122627752242788,0.005645344869818583,1min
51,120294,-0.003314219071982169,-0.0036241057994446705,126.75450811857533,0.005117397911418134,0.0056511142580077545,1min
